"In New York State Rifle & Pistol Association Inc. v. City of New York, NY (NYC), will the Supreme Court rule that NYC’s previous ban on transporting a licensed, locked, and unloaded handgun to a home or shooting range outside city limits is unconstitutional?",2019-11-29T18:00:03Z,2020-04-27T22:00:17Z,No,"['Yes', 'No']","['Society', 'US Politics']",254,654,141,237,,https://www.gjopen.com/questions/1409-in-new-york-state-rifle-pistol-association-inc-v-city-of-new-york-ny-nyc-will-the-supreme-court-rule-that-nyc-s-previous-ban-on-transporting-a-licensed-locked-and-unloaded-handgun-to-a-home-or-shooting-range-outside-city-limits-is-unconstitutional
31275,2020-04-27T22:35:36Z,4,[0.0],[-87.0],They declared it moot. I got this one totally wrong.
40584,2020-04-27T18:42:08Z,6,[0.0],[-75.0],
1034,2020-04-17T12:58:42Z,45,[0.0],[0.0],
1034,2020-04-15T01:08:56Z,44,[0.0],[0.0],Now that it is Moot [NYC changed the Laws involved] and the Court has better things to worry about this term video Teleconferences
1333,2020-04-14T14:47:06Z,32,[0.0],[-1.0],
87283,2020-04-13T16:14:40Z,1,[2.0],[2.0],
1034,2020-04-12T00:18:17Z,43,[0.0],[0.0],
691,2020-04-09T14:05:03Z,19,[10.0],[0.0],
87105,2020-04-09T09:47:25Z,1,[80.0],[80.0],
1034,2020-04-08T21:46:08Z,42,[0.0],[0.0],
40959,2020-04-07T15:58:27Z,1,[3.0],[3.0],
1034,2020-04-06T23:32:55Z,41,[0.0],[0.0],
1034,2020-04-05T09:25:56Z,40,[0.0],[0.0],
1333,2020-04-04T18:30:11Z,31,[1.0],[-1.0],
86946,2020-04-04T03:19:07Z,1,[88.0],[88.0],
1034,2020-04-03T23:00:38Z,39,[0.0],[0.0],"Miller, S., A. & Keehan, K., A. (2020). NY Firearm Restriction Faces Mootness Challenge in Supreme Court. Law Com. The Legal Intelligencer March 04, 2020. Retrieved from https://www.law.com/thelegalintelligencer/2020/03/04/ny-firearm-restriction-faces-mootness-challenge-in-supreme-court/"
32100,2020-04-02T13:23:46Z,2,[60.0],[20.0],
1034,2020-03-31T00:14:48Z,38,[0.0],[0.0],
40584,2020-03-29T20:13:12Z,5,[75.0],[55.0],
1333,2020-03-28T08:04:17Z,30,[2.0],[1.0],
1034,2020-03-28T00:22:28Z,37,[0.0],[0.0],
691,2020-03-26T12:23:57Z,18,[10.0],[-4.0],
67844,2020-03-24T07:42:36Z,1,[85.0],[85.0],
1034,2020-03-24T03:56:53Z,36,[0.0],[0.0],
1034,2020-03-22T03:31:14Z,35,[0.0],[0.0],
79464,2020-03-20T17:12:21Z,3,[70.0],[70.0],
80539,2020-03-18T19:44:55Z,1,[100.0],[100.0],
29266,2020-03-16T21:33:45Z,1,[90.0],[90.0],
79464,2020-03-16T20:11:51Z,2,[0.0],[-70.0],
1333,2020-03-14T13:00:10Z,29,[1.0],[-1.0],
1034,2020-03-12T20:28:59Z,34,[0.0],[0.0],
1034,2020-03-11T05:42:02Z,33,[0.0],[0.0],
85994,2020-03-10T06:33:24Z,1,[0.0],[0.0],
1034,2020-03-07T19:41:52Z,32,[0.0],[0.0],
59881,2020-03-07T08:11:50Z,1,[0.0],[0.0],
1034,2020-03-06T21:06:32Z,31,[0.0],[0.0],
1034,2020-03-05T21:05:59Z,30,[0.0],[0.0],
695,2020-03-05T19:28:52Z,1,[70.0],[70.0],
1333,2020-03-04T18:25:31Z,28,[2.0],[-1.0],
1333,2020-03-04T09:28:53Z,27,[3.0],[-1.0],
40584,2020-03-03T16:05:36Z,4,[20.0],[0.0],Re-affirming my estimate.
1034,2020-03-03T00:30:00Z,29,[0.0],[0.0],
77502,2020-03-02T04:56:45Z,1,[60.0],[60.0],Right wing majority in the court.
45594,2020-03-01T08:38:03Z,1,[80.0],[80.0],
1034,2020-02-29T21:47:45Z,28,[0.0],[0.0],
80285,2020-02-29T11:35:13Z,1,[100.0],[100.0],
1034,2020-02-28T23:02:44Z,27,[0.0],[0.0],
1333,2020-02-28T13:00:44Z,26,[4.0],[-1.0],
57143,2020-02-27T16:41:02Z,1,[100.0],[100.0],
1034,2020-02-27T00:55:31Z,26,[0.0],[0.0],
1034,2020-02-26T04:31:53Z,25,[0.0],[0.0],
55706,2020-02-25T18:59:13Z,2,[98.0],[0.0],
1333,2020-02-25T12:01:19Z,25,[5.0],[1.0],
1034,2020-02-24T19:43:03Z,24,[0.0],[0.0],
3207,2020-02-24T04:32:21Z,1,[70.0],[70.0],
1034,2020-02-24T04:25:40Z,23,[0.0],[0.0],
1034,2020-02-22T00:17:25Z,22,[0.0],[0.0],
691,2020-02-20T14:15:24Z,17,[14.0],[0.0],
85427,2020-02-19T09:39:01Z,1,[85.0],[85.0],The right to bear arms is Rifle associations holy grail and NYC cannot vote against that. The constitution needs to be updated before gun crime in US is controlled.
83667,2020-02-18T07:47:49Z,1,[100.0],[100.0],
1333,2020-02-17T20:27:07Z,24,[4.0],[1.0],
76674,2020-02-16T15:39:06Z,1,[50.0],[50.0],
32274,2020-02-16T09:27:26Z,3,[50.0],[-40.0],
42472,2020-02-15T15:30:59Z,1,[95.0],[95.0],
31275,2020-02-15T03:31:05Z,3,[87.0],[0.0],The Court did not find the case moot. John Roberts could side with gun control but I doubt it.
1034,2020-02-15T02:14:42Z,21,[0.0],[0.0],
1333,2020-02-14T18:23:05Z,23,[3.0],[1.0],
691,2020-02-13T14:34:21Z,16,[14.0],[2.0],
1333,2020-02-13T11:17:16Z,22,[2.0],[1.0],
40584,2020-02-12T16:21:34Z,3,[20.0],[8.0],
58648,2020-02-10T16:57:39Z,1,[90.0],[90.0],
1034,2020-02-09T22:31:32Z,20,[0.0],[0.0],
1034,2020-02-08T22:50:38Z,19,[0.0],[0.0],
1333,2020-02-08T21:36:07Z,21,[1.0],[-1.0],
1034,2020-02-07T20:40:00Z,18,[0.0],[0.0],
40584,2020-02-07T19:03:22Z,2,[12.0],[2.0],Updating
73674,2020-02-07T19:02:58Z,1,[0.0],[0.0],
1333,2020-02-04T09:37:23Z,20,[2.0],[-1.0],
1034,2020-02-02T08:30:55Z,17,[0.0],[0.0],
41318,2020-01-30T06:13:30Z,1,[67.0],[67.0],
83839,2020-01-29T23:43:43Z,1,[50.0],[50.0],
84533,2020-01-29T12:15:23Z,1,[95.0],[95.0],"Of course, the Conservative have a majority on SCOTUS. These conservatives have demonstrated the willingness to interpret the law to benefit gun owners. Therefore they even more likely rule to allow legal gun owners to use their guns in what is a common condition that is inherently safe, I.e. unloaded, not ready for fire and in transport. Further, a task that is needed for safety, practice as a shooting range, would certainly be allowed. To not allow practice at a firing range would endanger public safety - they would conclude. Therefore, the existing ban on transport to home or shooting range is unconstitutional."
64078,2020-01-29T00:02:31Z,1,[75.0],[75.0],
1034,2020-01-28T21:30:22Z,16,[0.0],[0.0],
31275,2020-01-27T20:18:42Z,2,[87.0],[1.0],https://www.opb.org/news/article/us-supreme-court-gun-regulations-rights-control-cases/
10752,2020-01-27T18:05:01Z,1,[65.0],[65.0],
1034,2020-01-26T23:04:50Z,15,[0.0],[0.0],
84521,2020-01-26T18:06:56Z,1,[15.0],[15.0],
83135,2020-01-26T17:20:15Z,1,[100.0],[100.0],
65637,2020-01-25T16:44:22Z,1,[65.0],[65.0],
691,2020-01-24T15:08:34Z,15,[12.0],[0.0],
8826,2020-01-23T17:26:03Z,1,[95.0],[95.0],It is still a conservative court
1333,2020-01-23T08:05:02Z,19,[3.0],[1.0],
36907,2020-01-23T05:39:01Z,1,[10.0],[10.0],
32100,2020-01-22T19:36:49Z,1,[40.0],[40.0],
84378,2020-01-22T19:08:54Z,1,[99.0],[99.0],"If someone legally owns a pistol, it is absurd that they do not have a right to carry it, locked and unloaded outside the city. The second amendment will prevail."
72427,2020-01-22T17:15:58Z,1,[40.0],[40.0],
45188,2020-01-22T14:24:53Z,1,[89.0],[89.0],
84364,2020-01-22T11:22:23Z,1,[80.0],[80.0],
82528,2020-01-22T04:09:41Z,1,[20.0],[20.0],
84336,2020-01-22T01:45:20Z,1,[30.0],[30.0],
84288,2020-01-21T16:03:24Z,1,[54.0],[54.0],
84254,2020-01-21T04:15:28Z,1,[25.0],[25.0],Supreme Court has ruled that reasonable restrictions of gun laws does not violate the second amendment
84244,2020-01-21T02:59:14Z,1,[90.0],[90.0],
84166,2020-01-20T20:16:26Z,1,[75.0],[75.0],
84099,2020-01-20T15:29:21Z,1,[100.0],[100.0],
84029,2020-01-20T11:23:29Z,1,[70.0],[70.0],
32300,2020-01-20T10:10:46Z,2,[60.0],[7.0],
83762,2020-01-20T05:05:46Z,1,[65.0],[65.0],
83886,2020-01-20T04:28:26Z,1,[70.0],[70.0],
65300,2020-01-20T04:01:30Z,1,[75.0],[75.0],
83701,2020-01-20T00:56:49Z,1,[65.0],[65.0],
83668,2020-01-19T23:50:27Z,1,[85.0],[85.0],
83617,2020-01-19T23:07:12Z,1,[80.0],[80.0],
1034,2020-01-19T22:23:19Z,14,[0.0],[0.0],
64499,2020-01-19T22:03:14Z,1,[0.0],[0.0],"Since the question is now moot, the Court will prefer not to act.,"
82317,2020-01-19T21:54:36Z,1,[85.0],[85.0],
13625,2020-01-19T21:43:43Z,1,[80.0],[80.0],
83528,2020-01-19T21:40:37Z,1,[75.0],[75.0],
83492,2020-01-19T21:25:15Z,1,[25.0],[25.0],
83493,2020-01-19T21:24:33Z,1,[5.0],[5.0],
83316,2020-01-19T21:02:40Z,1,[90.0],[90.0],"Sadly, yes."
83203,2020-01-19T20:14:15Z,1,[85.0],[85.0],
83278,2020-01-19T20:01:59Z,1,[0.0],[0.0],
83041,2020-01-19T19:56:40Z,1,[70.0],[70.0],
83229,2020-01-19T19:54:11Z,1,[75.0],[75.0],"While I favor new laws relating to handguns, some semiautomatic long guns, magazine capacity, and age limits, the New York law is overreach and in my opinion violates the 2nd Amendment"
