"Between 1 July 2019 and 30 June 2020, will an armed group from South Sudan engage in a campaign that systematically kills 1,000 or more civilians in South Sudan?",2019-07-01T18:00:44Z,2019-09-29T06:59:44Z,No,"['Yes', 'No']",['Security and Conflict'],76,654,40,237,,https://www.gjopen.com/questions/1229-between-1-april-2019-and-31-march-2020-will-an-armed-group-from-south-sudan-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-south-sudan
67609,2019-09-28T14:10:14Z,2,[18.0],[11.0],I updated my estimation after looking past year resolution and understanding what the meaning of the question really is.
691,2019-09-28T10:54:24Z,13,[1.0],[0.0],
82,2019-09-28T04:36:58Z,4,[0.0],[-7.0],
34527,2019-09-24T19:32:35Z,1,[0.0],[0.0],
5766,2019-09-24T18:37:36Z,2,[1.0],[-74.0],Want to make another prediction now that situation has changed and citizens are becoming more and more active in putting effort to not have such killings anymore.
62808,2019-09-23T21:29:00Z,3,[0.0],[-1.0],
62808,2019-09-23T21:28:31Z,2,[1.0],[1.0],
11430,2019-09-20T18:34:37Z,2,[15.0],[-20.0],
691,2019-09-19T13:31:51Z,12,[1.0],[0.0],
79079,2019-09-18T13:01:42Z,2,[4.0],[-1.0],
79427,2019-09-14T13:12:04Z,1,[6.0],[6.0],
67609,2019-09-14T11:31:10Z,1,[7.0],[7.0],"During the last eight years we had the Ubor and Pibor massacres, 640 and 900 victims respectively (for the second I use the UN estimates). Now, the probability of killings follows an inverse power law distribution with an exponent of 2.5."
76964,2019-09-12T21:17:35Z,1,[5.0],[5.0],
691,2019-09-10T12:51:29Z,11,[1.0],[0.0],
79079,2019-09-09T22:00:31Z,1,[5.0],[5.0],
79078,2019-09-03T15:39:30Z,1,[85.0],[85.0],
691,2019-08-31T12:08:32Z,10,[1.0],[-1.0],
1333,2019-08-29T19:11:06Z,15,[1.0],[-1.0],
1333,2019-08-27T18:56:55Z,14,[2.0],[-1.0],
78758,2019-08-27T04:49:42Z,1,[50.0],[50.0],
78618,2019-08-26T15:46:07Z,1,[10.0],[10.0],
78505,2019-08-26T13:20:28Z,1,[90.0],[90.0],Current fighting around for example Aweil will likely (continue to) include attacks on villages and forced displacement.
82,2019-08-26T00:30:52Z,3,[7.0],[2.0],
77341,2019-08-24T02:30:28Z,1,[13.0],[13.0],
1333,2019-08-23T18:53:50Z,13,[3.0],[-1.0],
