"Between 1 October 2018 and 30 September 2019, will an armed group from the Central African Republic engage in a campaign that systematically kills 1,000 or more civilians in the Central African Republic?",2018-09-28T23:00:37Z,2019-01-01T07:59:37Z,No,"['Yes', 'No']",['Security and Conflict'],60,654,29,237,"The EWP is asking forecasters to help provide early risk assessments to policy makers, NGOs, and other international actors about the systematic killing of civilians resulting in mass fatalities (Early Warning Project). This question is part of a series of quarterly questions (Good Judgment Inc). It will be suspended on 31 December 2018 and will be resolved in October 2019 after EWP assesses the situation in the Central African Republic from October 2018 to September 2019. Armed groups include but are not limited to state security forces, rebel armies, and other militias. Campaigns that systematically kill civilians include, but are not limited to, policies which intentionally kill civilians en masse (e.g., military strategies that intentionally target civilians, mass execution of a specific group) and policies that knowingly result in widespread death (e.g., mass starvation, confiscation of health care supplies, forced relocation). In general, unrelated executions of individuals or the accidental killing of civilians in war will not be considered a campaign to systematically kill civilians. If an armed group is engaged in multiple campaigns that systematically kill civilians (e.g., in different geographic areas, or targeted against separate civilian groups) those fatalities will be counted separately and the question will only resolve as yes if 1,000 civilian fatalities occur in one or more campaigns. See (Early Warning Project) for examples. See (GJOpen) for GJO's FAQ on forecasting questions like this.",https://www.gjopen.com/questions/1011-between-1-october-2018-and-30-september-2019-will-an-armed-group-from-the-central-african-republic-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-the-central-african-republic
27198,2018-12-31T23:07:24Z,1,[6.0],[6.0],
691,2018-12-31T12:39:45Z,19,[11.0],[0.0],
63353,2018-12-28T14:40:09Z,1,[5.0],[5.0],
691,2018-12-24T13:48:37Z,18,[11.0],[0.0],
705,2018-12-24T03:34:24Z,1,[8.0],[8.0],
1333,2018-12-22T19:24:11Z,11,[17.0],[1.0],
691,2018-12-20T13:11:53Z,17,[11.0],[0.0],
63698,2018-12-19T18:48:46Z,1,[10.0],[10.0],
39572,2018-12-16T15:06:13Z,1,[0.0],[0.0],
691,2018-12-14T21:12:11Z,16,[11.0],[0.0],
62808,2018-12-13T21:05:50Z,1,[80.0],[80.0],
6079,2018-12-13T18:30:23Z,1,[55.0],[55.0],
63498,2018-12-13T15:50:48Z,1,[27.0],[27.0],
63486,2018-12-13T14:26:37Z,1,[55.0],[55.0],
1333,2018-12-12T20:00:31Z,10,[16.0],[1.0],
82,2018-12-09T17:47:36Z,3,[5.0],[2.0],
691,2018-12-09T13:40:41Z,15,[11.0],[7.0],
12591,2018-12-08T07:12:06Z,1,[15.0],[15.0],
49838,2018-12-06T04:24:53Z,1,[17.0],[17.0],
1333,2018-12-02T18:04:33Z,9,[15.0],[5.0],
63213,2018-11-30T16:10:18Z,1,[75.0],[75.0],
1333,2018-11-28T19:22:51Z,8,[10.0],[1.0],
691,2018-11-28T13:14:42Z,14,[4.0],[0.0],
691,2018-11-25T14:03:03Z,13,[4.0],[0.0],
1333,2018-11-22T19:49:01Z,7,[9.0],[1.0],
691,2018-11-20T16:10:16Z,12,[4.0],[1.0],
61639,2018-11-19T19:16:52Z,1,[51.0],[51.0],
62731,2018-11-16T04:20:44Z,1,[78.0],[78.0],
691,2018-11-15T16:50:26Z,11,[3.0],[0.0],
1333,2018-11-12T20:01:44Z,6,[8.0],[-1.0],
691,2018-11-10T12:25:54Z,10,[3.0],[1.0],
1479,2018-11-08T03:33:57Z,1,[0.0],[0.0],
37488,2018-11-08T03:08:44Z,1,[3.0],[3.0],
46339,2018-11-06T18:11:24Z,1,[8.0],[8.0],
691,2018-11-06T12:34:14Z,9,[2.0],[-1.0],
1333,2018-11-04T19:19:24Z,5,[9.0],[-1.0],
691,2018-10-30T14:56:16Z,8,[3.0],[0.0],
691,2018-10-28T11:57:01Z,7,[3.0],[0.0],
1333,2018-10-24T15:26:51Z,4,[10.0],[1.0],
82,2018-10-22T03:10:02Z,2,[3.0],[2.0],
691,2018-10-20T21:41:05Z,6,[3.0],[0.0],
691,2018-10-16T12:19:42Z,5,[3.0],[0.0],
1333,2018-10-14T18:28:39Z,3,[9.0],[-1.0],
3152,2018-10-14T17:36:49Z,1,[2.0],[2.0],
691,2018-10-12T21:10:50Z,4,[3.0],[0.0],
1333,2018-10-09T14:35:06Z,2,[10.0],[-5.0],
30400,2018-10-07T08:24:54Z,1,[0.0],[0.0],
82,2018-10-06T17:58:31Z,1,[1.0],[1.0],
28166,2018-10-06T11:25:37Z,2,[3.0],[-2.0],
22833,2018-10-05T12:47:19Z,1,[0.0],[0.0],
36132,2018-10-04T15:29:45Z,1,[0.0],[0.0],
40642,2018-10-03T21:00:15Z,1,[0.0],[0.0],
691,2018-10-03T12:22:00Z,3,[3.0],[0.0],
32300,2018-10-01T14:33:18Z,1,[3.0],[3.0],
691,2018-10-01T11:27:53Z,2,[3.0],[0.0],
28166,2018-09-30T11:45:51Z,1,[5.0],[5.0],
5018,2018-09-29T19:07:47Z,1,[15.0],[15.0],
1333,2018-09-29T14:15:59Z,1,[15.0],[15.0],
691,2018-09-29T12:34:47Z,1,[3.0],[3.0],
15196,2018-09-29T02:43:07Z,1,[0.0],[0.0],
