"Before 1 October 2018, will Brazil's Workers' Party nominate a candidate for president who is not Luiz Inàcio Lula da Silva?",2018-04-18T17:00:47Z,2018-09-11T17:00:03Z,Yes,"['Yes', 'No']",['Non-US Politics'],386,654,187,237,"Lula's conviction and incarceration based upon corruption charges has cast doubt on his ability to run in Brazil's upcoming presidential election (The Economist, The Washington Post, MercoPress, The Economist). Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/936-before-1-october-2018-will-brazil-s-workers-party-nominate-a-candidate-for-president-who-is-not-luiz-inacio-lula-da-silva
691,2018-09-11T18:48:11Z,49,[100.0],[7.0],https://www.reuters.com/article/us-brazil-election/brazils-workers-party-to-swap-lula-for-running-mate-haddad-idUSKCN1LR08N much tidier to have a candidate who can actually stand for the office....
25141,2018-09-11T18:08:50Z,3,[100.0],[5.0],
58958,2018-09-11T16:22:46Z,6,[100.0],[0.0],
691,2018-09-11T12:41:36Z,48,[93.0],[0.0],
30610,2018-09-11T07:44:01Z,1,[100.0],[100.0],
30389,2018-09-11T07:40:58Z,3,[100.0],[2.0],
19801,2018-09-11T05:01:51Z,7,[100.0],[0.0],"Jailed former Brazilian president Luiz Inacio Lula da Silva will throw in the towel on Tuesday in his legal battle to run in the Oct. 7 election and allow his Workers Party to announce running mate Fernando Haddad as its candidate, party sources told Reuters. https://www.reuters.com/article/us-brazil-election/jailed-lula-to-bow-out-of-brazils-presidential-race-sources-idUSKCN1LR08N"
60928,2018-09-10T14:37:15Z,1,[75.0],[75.0],
427,2018-09-09T21:05:01Z,1,[95.0],[95.0],
14432,2018-09-09T13:40:03Z,2,[100.0],[1.0],
41707,2018-09-09T10:35:36Z,3,[90.0],[-3.0],
46161,2018-09-08T19:40:35Z,4,[98.0],[3.0],"Lula lost two appeals. Upping from 95 to 98%. Thanks for link, @cdob63. https://www.reuters.com/article/us-brazil-election-lula/brazil-supreme-court-rejects-latest-lula-appeal-to-run-for-presidency-idUSKCN1LM1GU"
57324,2018-09-07T14:47:29Z,1,[75.0],[75.0],The chance of having Lula disqualified is too much to risk.
15196,2018-09-07T14:46:45Z,4,[95.0],[35.0],
691,2018-09-07T11:40:51Z,47,[93.0],[2.0],https://www.reuters.com/article/us-brazil-election-lula/brazil-supreme-court-rejects-latest-lula-appeal-to-run-for-presidency-idUSKCN1LM1GU Sooner or later they're going to want someone who can be on the ballot; they have shown no signs of embracing futilitarianism.
5018,2018-09-06T23:04:10Z,8,[98.0],[2.0],"""Bolsonaro stabbed, in surgery"" - there, that will show the damn rightists! Given this, I don't see Ctrl-Left bowing out of the elections even if the message is ""Lula forever"""
691,2018-09-06T11:38:24Z,46,[91.0],[0.0],
1646,2018-09-06T08:07:54Z,5,[98.0],[3.0],
705,2018-09-06T01:53:09Z,5,[95.0],[-2.0],"""Brazil's Worker's Party (PT) has suffered a major blow after prosecutors charged vice presidential candidate Fernando Haddad with corruption."""
25141,2018-09-05T09:02:55Z,2,[95.0],[5.0],
1333,2018-09-04T14:55:58Z,17,[88.0],[1.0],
691,2018-09-04T12:11:08Z,45,[91.0],[0.0],
30389,2018-09-04T07:39:27Z,2,[98.0],[3.0],
767,2018-09-04T03:02:17Z,8,[40.0],[-5.0],"The Workers Party has vowed to keep Lula as their candidate, despite the Supreme Electoral Court's ruling barring him."
27461,2018-09-04T00:52:16Z,1,[100.0],[100.0],
43207,2018-09-03T18:58:49Z,3,[100.0],[1.0],
23006,2018-09-03T18:05:49Z,3,[51.0],[2.0],
46161,2018-09-03T17:38:12Z,3,[95.0],[-4.0],From 99 to 95% after reading comments by @Rahuul_Kumaar
1333,2018-09-03T15:42:18Z,16,[87.0],[-2.0],
32300,2018-09-03T15:38:12Z,1,[95.0],[95.0],
58853,2018-09-03T02:52:29Z,1,[65.0],[65.0],
19801,2018-09-03T02:30:03Z,6,[100.0],[0.0],Brazil’s top electoral court has ruled that jailed former President Luiz Inácio Lula da Silva cannot run as a candidate in the presidential election because of his corruption conviction.
15189,2018-09-03T01:47:02Z,1,[75.0],[75.0],
