"Between 1 October 2017 and 30 September 2018, will an armed group from Afghanistan engage in a campaign that systematically kills 1,000 or more civilians in Afghanistan?",2017-09-29T17:00:49Z,2018-01-01T07:59:37Z,No,"['Yes', 'No']",['Security and Conflict'],226,654,60,237,"The EWP is asking forecasters to help provide early risk assessments to policy makers, NGOs, and other international actors about the systematic killing of civilians resulting in mass fatalities (Early Warning Project). This question is part of a series of quarterly questions (Good Judgment Inc). It will be suspended on 31 December 2017 and will be resolved in October 2018 after EWP assesses the situation in Afghanistan from October 2017 through September 2018. Armed groups include but are not limited to state security forces, rebel armies, and other militias. Campaigns that systematically kill civilians include, but are not limited to, policies which intentionally kill civilians en masse (e.g., military strategies that intentionally target civilians, mass execution of a specific group) and policies that knowingly result in widespread death (e.g., mass starvation, confiscation of health care supplies, forced relocation). In general, unrelated executions of individuals or the accidental killing of civilians in war will not be considered a campaign to systematically kill civilians. If an armed group is engaged in multiple campaigns that systematically kill civilians (e.g., in different geographic areas, or targeted against separate civilian groups) those fatalities will be counted separately and the question will only resolve as yes if 1,000 civilian fatalities occur in one or more campaigns. See Early Warning Project for examples. See GJ’s FAQ on forecasting questions like this. Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/633-between-1-october-2017-and-30-september-2018-will-an-armed-group-from-afghanistan-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-afghanistan
45234,2018-01-01T06:36:34Z,1,[14.0],[14.0],
44670,2017-12-31T20:06:58Z,1,[95.0],[95.0],Seems very likely.
44460,2017-12-31T19:05:53Z,1,[25.0],[25.0],
368,2017-12-31T18:39:13Z,92,[0.0],[0.0],
44377,2017-12-31T18:24:09Z,1,[1.0],[1.0],
43838,2017-12-31T16:20:45Z,1,[15.0],[15.0],
83,2017-12-31T16:16:34Z,1,[0.0],[0.0],
1034,2017-12-31T16:01:55Z,12,[0.0],[0.0],
41542,2017-12-31T15:34:21Z,2,[5.0],[4.0],
41542,2017-12-31T15:22:20Z,1,[1.0],[1.0],
691,2017-12-31T12:41:54Z,39,[0.0],[0.0],
43645,2017-12-31T07:14:39Z,1,[25.0],[25.0],
368,2017-12-31T03:14:55Z,91,[0.0],[0.0],
691,2017-12-30T20:49:59Z,38,[0.0],[0.0],
12879,2017-12-30T20:15:27Z,2,[1.0],[-99.0],
1034,2017-12-30T10:59:19Z,11,[0.0],[0.0],
368,2017-12-29T20:45:14Z,90,[0.0],[0.0],
1034,2017-12-29T08:46:42Z,10,[0.0],[0.0],
43446,2017-12-29T03:28:20Z,1,[35.0],[35.0],
368,2017-12-29T01:29:49Z,89,[0.0],[0.0],
1034,2017-12-28T11:21:25Z,9,[0.0],[0.0],
43217,2017-12-27T21:37:20Z,1,[2.0],[2.0],
368,2017-12-27T20:56:18Z,88,[0.0],[0.0],
1333,2017-12-27T14:40:56Z,6,[65.0],[-10.0],
