"Between 1 October 2017 and 30 September 2018, will an armed group from Sudan engage in a campaign that systematically kills 1,000 or more civilians in Sudan?",2017-09-29T17:00:44Z,2018-01-01T07:59:37Z,No,"['Yes', 'No']",['Security and Conflict'],179,654,50,237,"The EWP is asking forecasters to help provide early risk assessments to policy makers, NGOs, and other international actors about the systematic killing of civilians resulting in mass fatalities (Early Warning Project). This question is part of a series of quarterly questions (Good Judgment Inc). It will be suspended on 31 December 2017 and will be resolved in October 2018 after EWP assesses the situation in Sudan from October 2017 through September 2018. Armed groups include but are not limited to state security forces, rebel armies, and other militias. Campaigns that systematically kill civilians include, but are not limited to, policies which intentionally kill civilians en masse (e.g., military strategies that intentionally target civilians, mass execution of a specific group) and policies that knowingly result in widespread death (e.g., mass starvation, confiscation of health care supplies, forced relocation). In general, unrelated executions of individuals or the accidental killing of civilians in war will not be considered a campaign to systematically kill civilians. If an armed group is engaged in multiple campaigns that systematically kill civilians (e.g., in different geographic areas, or targeted against separate civilian groups) those fatalities will be counted separately and the question will only resolve as yes if 1,000 civilian fatalities occur in one or more campaigns. See Early Warning Project for examples. See GJ’s FAQ on forecasting questions like this. Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/622-between-1-october-2017-and-30-september-2018-will-an-armed-group-from-sudan-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-sudan
45234,2018-01-01T06:39:15Z,1,[13.0],[13.0],
44460,2017-12-31T19:07:43Z,1,[15.0],[15.0],
368,2017-12-31T18:40:24Z,78,[0.0],[0.0],
44377,2017-12-31T18:27:02Z,1,[11.0],[11.0],
43769,2017-12-31T16:18:40Z,1,[80.0],[80.0],The government of Sudan is collecting arms from the factions. It will be unrest .
83,2017-12-31T16:10:47Z,1,[2.0],[2.0],
1034,2017-12-31T15:59:18Z,1,[0.0],[0.0],
691,2017-12-31T12:40:40Z,41,[1.0],[0.0],
43645,2017-12-31T07:18:21Z,1,[15.0],[15.0],
368,2017-12-31T03:16:00Z,77,[0.0],[0.0],
691,2017-12-30T20:48:14Z,40,[1.0],[0.0],
12879,2017-12-30T20:18:56Z,2,[1.0],[-34.0],
368,2017-12-29T20:45:59Z,76,[0.0],[0.0],
368,2017-12-29T01:30:55Z,75,[0.0],[0.0],
43217,2017-12-27T21:33:23Z,1,[4.0],[4.0],
368,2017-12-27T20:57:24Z,74,[0.0],[0.0],
368,2017-12-27T01:31:32Z,73,[0.0],[0.0],
41523,2017-12-27T00:39:42Z,2,[1.0],[-14.0],
1333,2017-12-26T18:06:34Z,4,[4.0],[-1.0],
691,2017-12-26T15:05:49Z,39,[1.0],[0.0],
368,2017-12-25T21:19:18Z,72,[0.0],[0.0],
368,2017-12-25T00:09:26Z,71,[0.0],[0.0],
368,2017-12-24T02:19:27Z,70,[0.0],[0.0],
368,2017-12-23T02:57:28Z,69,[0.0],[0.0],
691,2017-12-22T21:03:59Z,38,[1.0],[0.0],
368,2017-12-22T17:16:25Z,68,[0.0],[0.0],
368,2017-12-21T23:35:42Z,67,[0.0],[0.0],
368,2017-12-20T18:32:41Z,66,[0.0],[0.0],
5018,2017-12-20T03:04:42Z,1,[0.0],[0.0],
368,2017-12-20T02:32:08Z,65,[0.0],[0.0],
42543,2017-12-19T22:57:59Z,1,[40.0],[40.0],
691,2017-12-19T17:45:47Z,37,[1.0],[0.0],
368,2017-12-19T05:33:22Z,64,[0.0],[0.0],
368,2017-12-19T00:50:02Z,63,[0.0],[0.0],
37053,2017-12-18T15:20:40Z,1,[2.0],[2.0],
368,2017-12-18T02:26:05Z,62,[0.0],[0.0],
368,2017-12-16T20:34:55Z,61,[0.0],[0.0],
42463,2017-12-16T17:18:59Z,1,[1.0],[1.0],
42437,2017-12-16T02:31:14Z,1,[6.0],[6.0],
368,2017-12-15T23:47:29Z,60,[0.0],[0.0],
368,2017-12-14T19:17:53Z,59,[0.0],[0.0],
691,2017-12-14T17:38:36Z,36,[1.0],[0.0],
12302,2017-12-14T14:53:42Z,6,[2.0],[-1.0],
368,2017-12-13T18:20:53Z,58,[0.0],[0.0],
368,2017-12-12T00:24:27Z,57,[0.0],[0.0],
368,2017-12-10T19:37:18Z,56,[0.0],[0.0],
1333,2017-12-10T15:39:17Z,3,[5.0],[-10.0],
691,2017-12-10T14:29:56Z,35,[1.0],[0.0],
368,2017-12-10T01:10:23Z,55,[0.0],[0.0],
368,2017-12-08T21:19:25Z,54,[0.0],[0.0],
368,2017-12-07T16:36:24Z,53,[0.0],[0.0],
368,2017-12-06T20:29:53Z,52,[0.0],[0.0],
691,2017-12-04T21:12:12Z,34,[1.0],[0.0],
368,2017-12-04T18:53:23Z,51,[0.0],[0.0],
22132,2017-12-04T02:28:28Z,1,[0.0],[0.0],
368,2017-12-04T01:12:39Z,50,[0.0],[0.0],
368,2017-12-02T18:51:07Z,49,[0.0],[0.0],
368,2017-11-30T22:28:40Z,48,[0.0],[0.0],
691,2017-11-30T17:02:58Z,33,[1.0],[0.0],
42026,2017-11-30T16:16:51Z,1,[25.0],[25.0],
368,2017-11-29T19:26:19Z,47,[0.0],[0.0],
41958,2017-11-28T21:15:26Z,1,[2.0],[2.0],
691,2017-11-28T20:38:29Z,32,[1.0],[0.0],
41924,2017-11-28T16:13:09Z,1,[1.0],[1.0],
368,2017-11-28T01:12:53Z,46,[0.0],[0.0],
368,2017-11-27T02:23:46Z,45,[0.0],[0.0],
41270,2017-11-26T21:05:05Z,1,[1.0],[1.0],
368,2017-11-26T01:40:23Z,44,[0.0],[0.0],
368,2017-11-24T16:38:23Z,43,[0.0],[0.0],
691,2017-11-24T16:20:39Z,31,[1.0],[0.0],
368,2017-11-24T01:29:00Z,42,[0.0],[0.0],
41523,2017-11-23T05:47:40Z,1,[15.0],[15.0],
368,2017-11-23T00:11:54Z,41,[0.0],[0.0],
368,2017-11-22T00:22:56Z,40,[0.0],[0.0],
691,2017-11-21T21:47:27Z,30,[1.0],[0.0],
368,2017-11-20T21:44:40Z,39,[0.0],[0.0],
691,2017-11-20T18:02:57Z,29,[1.0],[0.0],
368,2017-11-19T23:57:35Z,38,[0.0],[0.0],
373,2017-11-19T20:37:31Z,1,[4.0],[4.0],
37250,2017-11-19T15:13:04Z,1,[0.0],[0.0],
368,2017-11-19T00:46:24Z,37,[0.0],[0.0],
41482,2017-11-18T23:28:56Z,1,[70.0],[70.0],
691,2017-11-18T19:55:34Z,28,[1.0],[0.0],
368,2017-11-17T21:46:24Z,36,[0.0],[0.0],
691,2017-11-17T15:14:43Z,27,[1.0],[0.0],
691,2017-11-15T22:07:22Z,26,[1.0],[0.0],
691,2017-11-14T22:19:56Z,25,[1.0],[0.0],
368,2017-11-14T19:29:16Z,35,[0.0],[0.0],
368,2017-11-13T22:16:14Z,34,[0.0],[0.0],
368,2017-11-13T01:21:35Z,33,[0.0],[0.0],
691,2017-11-12T21:47:23Z,24,[1.0],[0.0],
37533,2017-11-12T14:59:32Z,1,[0.0],[0.0],
368,2017-11-10T18:18:42Z,32,[0.0],[0.0],
368,2017-11-10T01:42:59Z,31,[0.0],[0.0],
691,2017-11-09T19:43:40Z,23,[1.0],[0.0],
41318,2017-11-09T06:08:20Z,1,[2.0],[2.0],
368,2017-11-08T19:58:02Z,30,[0.0],[0.0],
368,2017-11-07T19:02:31Z,29,[0.0],[0.0],
368,2017-11-06T18:49:11Z,28,[0.0],[0.0],
368,2017-11-05T22:24:28Z,27,[0.0],[0.0],
