"Between 1 October 2017 and 30 September 2018, will an armed group from Zimbabwe engage in a campaign that systematically kills 1,000 or more civilians in Zimbabwe?",2017-09-29T17:00:18Z,2018-01-01T07:59:37Z,No,"['Yes', 'No']",['Security and Conflict'],201,654,53,237,"The EWP is asking forecasters to help provide early risk assessments to policy makers, NGOs, and other international actors about the systematic killing of civilians resulting in mass fatalities (Early Warning Project). This question is part of a series of quarterly questions (Good Judgment Inc). It will be suspended on 31 December 2017 and will be resolved in October 2018 after EWP assesses the situation in Zimbabwe from October 2017 through September 2018.. Armed groups include but are not limited to state security forces, rebel armies, and other militias. Campaigns that systematically kill civilians include, but are not limited to, policies which intentionally kill civilians en masse (e.g., military strategies that intentionally target civilians, mass execution of a specific group) and policies that knowingly result in widespread death (e.g., mass starvation, confiscation of health care supplies, forced relocation). In general, unrelated executions of individuals or the accidental killing of civilians in war will not be considered a campaign to systematically kill civilians. If an armed group is engaged in multiple campaigns that systematically kill civilians (e.g., in different geographic areas, or targeted against separate civilian groups) those fatalities will be counted separately and the question will only resolve as yes if 1,000 civilian fatalities occur in one or more campaigns. See Early Warning Project for examples. See GJ’s FAQ on forecasting questions like this. Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/619-between-1-october-2017-and-30-september-2018-will-an-armed-group-from-zimbabwe-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-zimbabwe
45234,2018-01-01T06:39:37Z,1,[4.0],[4.0],
368,2017-12-31T18:42:23Z,92,[0.0],[0.0],
44377,2017-12-31T18:28:30Z,1,[1.0],[1.0],
83,2017-12-31T16:08:25Z,1,[0.0],[0.0],
691,2017-12-31T12:40:27Z,43,[0.0],[0.0],
43645,2017-12-31T07:21:51Z,1,[35.0],[35.0],
368,2017-12-31T03:18:24Z,91,[0.0],[0.0],
691,2017-12-30T20:47:22Z,42,[0.0],[0.0],
12879,2017-12-30T20:19:47Z,2,[1.0],[-24.0],
368,2017-12-29T20:47:13Z,90,[0.0],[0.0],
368,2017-12-29T01:33:10Z,89,[0.0],[0.0],
43217,2017-12-27T21:34:56Z,1,[0.0],[0.0],
368,2017-12-27T20:58:36Z,88,[0.0],[0.0],
368,2017-12-27T01:33:18Z,87,[0.0],[0.0],
691,2017-12-26T15:05:34Z,41,[0.0],[0.0],
368,2017-12-25T21:20:53Z,86,[0.0],[0.0],
368,2017-12-25T00:16:25Z,85,[0.0],[0.0],
368,2017-12-24T02:21:25Z,84,[0.0],[0.0],
368,2017-12-23T02:59:50Z,83,[0.0],[0.0],
691,2017-12-22T21:03:43Z,40,[0.0],[0.0],
368,2017-12-22T17:17:56Z,82,[0.0],[0.0],
368,2017-12-21T23:36:44Z,81,[0.0],[0.0],
368,2017-12-20T18:34:52Z,80,[0.0],[0.0],
41523,2017-12-20T05:04:00Z,1,[0.0],[0.0],
368,2017-12-20T02:33:20Z,79,[0.0],[0.0],
42543,2017-12-19T22:59:05Z,1,[10.0],[10.0],
691,2017-12-19T17:45:32Z,39,[0.0],[0.0],
368,2017-12-19T05:34:29Z,78,[0.0],[0.0],
