"Between 1 October 2017 and 30 September 2018, will an armed group from Nigeria engage in a campaign that systematically kills 1,000 or more civilians in Nigeria?",2017-09-29T17:00:13Z,2018-01-01T07:59:37Z,No,"['Yes', 'No']",['Security and Conflict'],196,654,43,237,"The EWP is asking forecasters to help provide early risk assessments to policy makers, NGOs, and other international actors about the systematic killing of civilians resulting in mass fatalities (Early Warning Project). This question is part of a series of quarterly questions (Good Judgment Inc). It will be suspended on 31 December 2017 and will be resolved in October 2018 after EWP assesses the situation in Nigeria from October 2017 through September 2018. Armed groups include but are not limited to state security forces, rebel armies, and other militias. Campaigns that systematically kill civilians include, but are not limited to, policies which intentionally kill civilians en masse (e.g., military strategies that intentionally target civilians, mass execution of a specific group) and policies that knowingly result in widespread death (e.g., mass starvation, confiscation of health care supplies, forced relocation). In general, unrelated executions of individuals or the accidental killing of civilians in war will not be considered a campaign to systematically kill civilians. If an armed group is engaged in multiple campaigns that systematically kill civilians (e.g., in different geographic areas, or targeted against separate civilian groups) those fatalities will be counted separately and the question will only resolve as yes if 1,000 civilian fatalities occur in one or more campaigns. See Early Warning Project for examples. See GJ’s FAQ on forecasting questions like this. Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/625-between-1-october-2017-and-30-september-2018-will-an-armed-group-from-nigeria-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-nigeria
45234,2018-01-01T06:38:34Z,1,[11.0],[11.0],
368,2017-12-31T18:43:12Z,92,[0.0],[0.0],
2965,2017-12-31T17:45:19Z,10,[0.0],[0.0],
83,2017-12-31T16:12:56Z,1,[1.0],[1.0],
691,2017-12-31T12:41:00Z,40,[0.0],[0.0],
43645,2017-12-31T07:22:38Z,1,[15.0],[15.0],
368,2017-12-31T03:18:53Z,91,[0.0],[0.0],
691,2017-12-30T20:48:47Z,39,[0.0],[0.0],
12879,2017-12-30T20:17:55Z,2,[1.0],[-14.0],
368,2017-12-29T20:47:51Z,90,[0.0],[0.0],
368,2017-12-29T01:33:53Z,89,[0.0],[0.0],
15196,2017-12-28T22:09:31Z,2,[0.0],[-5.0],
43217,2017-12-27T21:31:38Z,1,[2.0],[2.0],
368,2017-12-27T20:59:10Z,88,[0.0],[0.0],
368,2017-12-27T01:34:02Z,87,[0.0],[0.0],
41523,2017-12-27T00:40:12Z,2,[0.0],[-5.0],
368,2017-12-25T21:21:37Z,86,[0.0],[0.0],
368,2017-12-25T00:17:06Z,85,[0.0],[0.0],
368,2017-12-24T02:21:59Z,84,[0.0],[0.0],
368,2017-12-23T03:00:41Z,83,[0.0],[0.0],
691,2017-12-22T21:04:21Z,38,[0.0],[0.0],
368,2017-12-22T17:18:41Z,82,[0.0],[0.0],
40054,2017-12-22T07:43:11Z,3,[0.0],[-10.0],
368,2017-12-21T23:37:15Z,81,[0.0],[0.0],
368,2017-12-20T18:36:48Z,80,[0.0],[0.0],
5018,2017-12-20T03:05:48Z,1,[0.0],[0.0],
368,2017-12-20T02:33:57Z,79,[0.0],[0.0],
42543,2017-12-19T22:56:39Z,1,[6.0],[6.0],
691,2017-12-19T17:46:33Z,37,[0.0],[0.0],
368,2017-12-19T05:34:44Z,78,[0.0],[0.0],
368,2017-12-19T00:52:14Z,77,[0.0],[0.0],
37053,2017-12-18T15:20:56Z,1,[1.0],[1.0],
368,2017-12-18T02:30:36Z,76,[0.0],[0.0],
368,2017-12-16T20:36:04Z,75,[0.0],[0.0],
42437,2017-12-16T02:30:32Z,1,[12.0],[12.0],
368,2017-12-15T23:52:11Z,74,[0.0],[0.0],
2965,2017-12-15T03:11:58Z,9,[0.0],[0.0],never in nigeria. that way does lie chaos!
368,2017-12-14T19:21:17Z,73,[0.0],[0.0],
691,2017-12-14T17:39:04Z,36,[0.0],[0.0],
368,2017-12-13T18:24:35Z,72,[0.0],[0.0],
368,2017-12-12T00:28:03Z,71,[0.0],[0.0],
368,2017-12-10T19:39:06Z,70,[0.0],[0.0],
691,2017-12-10T14:40:11Z,35,[0.0],[0.0],
368,2017-12-08T21:21:31Z,69,[0.0],[0.0],
368,2017-12-07T16:39:03Z,68,[0.0],[0.0],
368,2017-12-06T20:32:24Z,67,[0.0],[0.0],
368,2017-12-05T18:57:32Z,66,[0.0],[0.0],
691,2017-12-04T21:12:37Z,34,[0.0],[0.0],
368,2017-12-04T18:55:57Z,65,[0.0],[0.0],
22132,2017-12-04T02:33:05Z,1,[0.0],[0.0],
368,2017-12-04T01:16:12Z,64,[0.0],[0.0],
37488,2017-12-02T23:49:11Z,1,[3.0],[3.0],
368,2017-12-02T18:51:44Z,63,[0.0],[0.0],
368,2017-11-30T22:30:59Z,62,[0.0],[0.0],
691,2017-11-30T17:03:23Z,33,[0.0],[0.0],
42026,2017-11-30T16:15:58Z,1,[10.0],[10.0],
368,2017-11-29T19:29:26Z,61,[0.0],[0.0],
368,2017-11-28T21:38:59Z,60,[0.0],[0.0],
41958,2017-11-28T21:14:30Z,1,[5.0],[5.0],
691,2017-11-28T20:39:07Z,32,[0.0],[0.0],
41924,2017-11-28T16:12:29Z,1,[1.0],[1.0],
368,2017-11-28T01:14:27Z,59,[0.0],[0.0],
34353,2017-11-27T13:54:08Z,2,[0.0],[-1.0],
40054,2017-11-27T07:50:20Z,2,[10.0],[-10.0],
368,2017-11-27T02:25:24Z,58,[0.0],[0.0],
41270,2017-11-26T21:10:59Z,1,[1.0],[1.0],
368,2017-11-26T01:41:26Z,57,[0.0],[0.0],
368,2017-11-24T16:40:29Z,56,[0.0],[0.0],
691,2017-11-24T16:21:03Z,31,[0.0],[0.0],
368,2017-11-24T01:31:07Z,55,[0.0],[0.0],
41523,2017-11-23T05:45:28Z,1,[5.0],[5.0],
368,2017-11-23T00:13:21Z,54,[0.0],[0.0],
368,2017-11-22T00:25:01Z,53,[0.0],[0.0],
691,2017-11-21T21:47:53Z,30,[0.0],[0.0],
368,2017-11-20T21:46:10Z,52,[0.0],[0.0],
691,2017-11-20T18:03:25Z,29,[0.0],[0.0],
368,2017-11-20T00:00:59Z,51,[0.0],[0.0],
373,2017-11-19T20:35:39Z,1,[2.0],[2.0],
368,2017-11-19T00:47:50Z,50,[0.0],[0.0],
41482,2017-11-18T23:28:09Z,1,[0.0],[0.0],
691,2017-11-18T19:56:39Z,28,[0.0],[0.0],
12302,2017-11-18T12:00:58Z,4,[20.0],[-5.0],
368,2017-11-17T21:48:24Z,49,[0.0],[0.0],
691,2017-11-17T15:15:12Z,27,[0.0],[0.0],
691,2017-11-15T22:09:26Z,26,[0.0],[0.0],
691,2017-11-14T22:21:00Z,25,[0.0],[0.0],
368,2017-11-14T19:30:50Z,48,[0.0],[0.0],
368,2017-11-13T22:18:04Z,47,[0.0],[0.0],
368,2017-11-13T01:23:03Z,46,[0.0],[0.0],
691,2017-11-12T21:48:19Z,24,[0.0],[0.0],
37533,2017-11-12T14:59:57Z,1,[0.0],[0.0],
368,2017-11-11T20:03:22Z,45,[0.0],[0.0],
368,2017-11-10T18:23:50Z,44,[0.0],[0.0],
368,2017-11-10T01:44:14Z,43,[0.0],[0.0],
691,2017-11-09T19:44:53Z,23,[0.0],[0.0],
2965,2017-11-09T14:22:43Z,8,[0.0],[0.0],
41318,2017-11-09T06:05:52Z,1,[1.0],[1.0],
368,2017-11-08T19:59:48Z,42,[0.0],[0.0],
368,2017-11-07T19:04:42Z,41,[0.0],[0.0],
368,2017-11-06T18:51:14Z,40,[0.0],[0.0],
368,2017-11-05T22:26:20Z,39,[0.0],[0.0],
368,2017-11-04T22:00:59Z,38,[0.0],[0.0],
2965,2017-11-04T09:57:33Z,7,[0.0],[0.0],
368,2017-11-03T17:21:46Z,37,[0.0],[0.0],
691,2017-11-03T15:25:21Z,22,[0.0],[0.0],
2965,2017-11-03T02:44:12Z,6,[0.0],[0.0],
691,2017-11-02T19:05:53Z,21,[0.0],[0.0],
368,2017-11-02T17:24:00Z,36,[0.0],[0.0],
368,2017-11-01T21:49:13Z,35,[0.0],[0.0],
691,2017-11-01T18:39:29Z,20,[0.0],[0.0],
691,2017-10-31T22:36:37Z,19,[0.0],[0.0],
368,2017-10-31T18:35:55Z,34,[0.0],[0.0],
368,2017-10-30T21:55:04Z,33,[0.0],[0.0],
6303,2017-10-30T03:40:37Z,3,[1.0],[0.0],Based on general news and GJP consensus.
368,2017-10-29T17:29:12Z,32,[0.0],[0.0],
691,2017-10-29T12:56:25Z,18,[0.0],[0.0],
368,2017-10-29T01:31:16Z,31,[0.0],[0.0],
368,2017-10-27T20:08:15Z,30,[0.0],[0.0],
691,2017-10-27T18:30:58Z,17,[0.0],[0.0],
691,2017-10-26T21:41:04Z,16,[0.0],[0.0],
368,2017-10-26T17:53:03Z,29,[0.0],[0.0],
368,2017-10-25T23:34:12Z,28,[0.0],[0.0],
691,2017-10-25T15:10:18Z,15,[0.0],[0.0],
691,2017-10-24T20:28:16Z,14,[0.0],[0.0],
368,2017-10-24T18:46:24Z,27,[0.0],[0.0],
368,2017-10-23T20:05:43Z,26,[0.0],[0.0],
6303,2017-10-23T02:45:38Z,2,[1.0],[0.0],Based on general news and GJP consensus.
368,2017-10-21T21:19:07Z,25,[0.0],[0.0],
691,2017-10-21T19:35:03Z,13,[0.0],[-1.0],Don't think so. The various resistance movements in Nigeria are notably weaker than formerly and it's not clear that a big comeback is on the cards.
2965,2017-10-21T06:50:49Z,5,[0.0],[0.0],
2965,2017-10-21T06:44:28Z,4,[0.0],[-20.0],Troops on ground Republic of France and US Not benghazi. Isis fights on
15579,2017-10-21T01:17:43Z,1,[100.0],[100.0],
368,2017-10-20T23:04:22Z,24,[0.0],[0.0],
691,2017-10-20T19:41:25Z,12,[1.0],[0.0],
368,2017-10-19T21:39:17Z,23,[0.0],[0.0],
691,2017-10-19T14:13:50Z,11,[1.0],[0.0],
368,2017-10-18T20:36:26Z,22,[0.0],[0.0],
691,2017-10-18T19:17:08Z,10,[1.0],[0.0],
2965,2017-10-17T21:56:13Z,3,[20.0],[0.0],
368,2017-10-17T19:46:33Z,21,[0.0],[0.0],
691,2017-10-16T21:45:46Z,9,[1.0],[0.0],
6303,2017-10-16T04:32:21Z,1,[1.0],[1.0],Based on general news and GJP consensus.
691,2017-10-15T23:31:52Z,8,[1.0],[0.0],
368,2017-10-15T20:51:56Z,20,[0.0],[0.0],
12302,2017-10-14T18:58:35Z,3,[25.0],[5.0],
368,2017-10-14T17:03:57Z,19,[0.0],[0.0],
691,2017-10-14T13:10:43Z,7,[1.0],[0.0],
368,2017-10-13T23:43:40Z,18,[0.0],[0.0],
368,2017-10-13T23:38:26Z,17,[0.0],[0.0],
691,2017-10-13T19:16:42Z,6,[1.0],[0.0],
12302,2017-10-13T10:01:53Z,2,[20.0],[-5.0],According to Data provided by ACLEDs 'violence against civilians'-category during 2017 so far 1322 civilians have been deliberately killed in Nigeria.
38116,2017-10-13T00:10:19Z,1,[4.0],[4.0],
368,2017-10-12T19:04:07Z,16,[0.0],[0.0],
368,2017-10-11T19:57:28Z,15,[0.0],[0.0],
368,2017-10-10T18:22:04Z,14,[0.0],[0.0],
368,2017-10-09T20:16:55Z,13,[0.0],[0.0],
4729,2017-10-09T19:42:44Z,1,[1.0],[1.0],
368,2017-10-08T19:09:10Z,12,[0.0],[-2.0],
368,2017-10-08T19:08:58Z,11,[2.0],[0.0],
40642,2017-10-08T17:16:32Z,1,[0.0],[0.0],
691,2017-10-08T13:20:38Z,5,[1.0],[0.0],
368,2017-10-07T20:03:53Z,10,[2.0],[0.0],
