"Between 1 October 2017 and 30 September 2018, will an armed group from Pakistan engage in a campaign that systematically kills 1,000 or more civilians in Pakistan?",2017-09-29T17:00:13Z,2018-01-01T07:59:37Z,No,"['Yes', 'No']",['Security and Conflict'],252,654,46,237,"The EWP is asking forecasters to help provide early risk assessments to policy makers, NGOs, and other international actors about the systematic killing of civilians resulting in mass fatalities (Early Warning Project). This question is part of a series of quarterly questions (Good Judgment Inc). It will be suspended on 31 December 2017 and will be resolved in October 2018 after EWP assesses the situation in Pakistan from October 2017 through September 2018. Armed groups include but are not limited to state security forces, rebel armies, and other militias. Campaigns that systematically kill civilians include, but are not limited to, policies which intentionally kill civilians en masse (e.g., military strategies that intentionally target civilians, mass execution of a specific group) and policies that knowingly result in widespread death (e.g., mass starvation, confiscation of health care supplies, forced relocation). In general, unrelated executions of individuals or the accidental killing of civilians in war will not be considered a campaign to systematically kill civilians. If an armed group is engaged in multiple campaigns that systematically kill civilians (e.g., in different geographic areas, or targeted against separate civilian groups) those fatalities will be counted separately and the question will only resolve as yes if 1,000 civilian fatalities occur in one or more campaigns. See Early Warning Project for examples. See GJ’s FAQ on forecasting questions like this. Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/624-between-1-october-2017-and-30-september-2018-will-an-armed-group-from-pakistan-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-pakistan
45234,2018-01-01T06:38:45Z,1,[13.0],[13.0],
368,2017-12-31T18:42:41Z,97,[0.0],[0.0],
43769,2017-12-31T16:17:21Z,1,[80.0],[80.0],This year will be unrest in Pakistan.
83,2017-12-31T16:12:21Z,1,[0.0],[0.0],
1034,2017-12-31T16:08:14Z,61,[0.0],[0.0],
691,2017-12-31T12:40:53Z,41,[0.0],[0.0],
43645,2017-12-31T07:23:24Z,1,[25.0],[25.0],
368,2017-12-31T03:18:43Z,96,[0.0],[0.0],
691,2017-12-30T20:48:28Z,40,[0.0],[0.0],
12879,2017-12-30T20:18:20Z,2,[1.0],[-14.0],
1034,2017-12-30T11:18:21Z,60,[0.0],[0.0],
368,2017-12-29T20:47:34Z,95,[0.0],[0.0],
22308,2017-12-29T15:27:58Z,1,[0.0],[0.0],
1034,2017-12-29T09:00:21Z,59,[0.0],[0.0],
368,2017-12-29T01:33:31Z,94,[0.0],[0.0],
1034,2017-12-28T11:41:16Z,58,[0.0],[0.0],
43217,2017-12-27T21:32:17Z,1,[0.0],[0.0],
368,2017-12-27T20:58:51Z,93,[0.0],[0.0],
1034,2017-12-27T07:51:03Z,57,[0.0],[0.0],
368,2017-12-27T01:33:40Z,92,[0.0],[0.0],
41523,2017-12-27T00:40:03Z,2,[0.0],[-5.0],
691,2017-12-26T15:06:05Z,39,[0.0],[0.0],
1034,2017-12-26T05:57:45Z,56,[0.0],[0.0],
368,2017-12-25T21:21:15Z,91,[0.0],[0.0],
1034,2017-12-25T07:53:09Z,55,[0.0],[0.0],
368,2017-12-25T00:16:46Z,90,[0.0],[0.0],
1034,2017-12-24T06:00:23Z,54,[0.0],[0.0],
368,2017-12-24T02:21:43Z,89,[0.0],[0.0],
1034,2017-12-23T08:02:05Z,53,[0.0],[0.0],
368,2017-12-23T03:00:17Z,88,[0.0],[0.0],
691,2017-12-22T21:04:14Z,38,[0.0],[0.0],
368,2017-12-22T17:18:16Z,87,[0.0],[0.0],
1034,2017-12-22T11:18:32Z,52,[0.0],[0.0],
368,2017-12-21T23:36:56Z,86,[0.0],[0.0],
25141,2017-12-21T18:02:14Z,1,[0.0],[0.0],
1034,2017-12-21T15:29:26Z,51,[0.0],[0.0],
368,2017-12-20T18:36:38Z,85,[0.0],[0.0],
1034,2017-12-20T05:19:45Z,50,[0.0],[0.0],
5018,2017-12-20T03:05:38Z,1,[0.0],[0.0],
368,2017-12-20T02:33:39Z,84,[0.0],[0.0],
42543,2017-12-19T22:56:58Z,1,[3.0],[3.0],
691,2017-12-19T17:46:25Z,37,[0.0],[0.0],
1034,2017-12-19T05:40:49Z,49,[0.0],[0.0],
368,2017-12-19T05:34:58Z,83,[0.0],[0.0],
368,2017-12-19T00:51:57Z,82,[0.0],[0.0],
1034,2017-12-18T16:46:48Z,48,[0.0],[0.0],
37053,2017-12-18T15:21:06Z,1,[1.0],[1.0],
368,2017-12-18T02:30:22Z,81,[0.0],[0.0],
1034,2017-12-17T07:00:55Z,47,[0.0],[0.0],
368,2017-12-16T20:35:48Z,80,[0.0],[0.0],
1034,2017-12-16T05:32:36Z,46,[0.0],[0.0],
42437,2017-12-16T02:30:48Z,1,[5.0],[5.0],
368,2017-12-15T23:51:26Z,79,[0.0],[0.0],
368,2017-12-14T19:20:56Z,78,[0.0],[0.0],
691,2017-12-14T17:38:55Z,36,[0.0],[0.0],
1034,2017-12-14T05:44:00Z,45,[0.0],[0.0],
368,2017-12-13T18:24:18Z,77,[0.0],[0.0],
1034,2017-12-13T07:32:47Z,44,[0.0],[0.0],
