"Between 1 October 2017 and 30 September 2018, will an armed group from Burundi engage in a campaign that systematically kills 1,000 or more civilians in Burundi?",2017-09-29T17:00:11Z,2018-01-01T07:59:37Z,No,"['Yes', 'No']",['Security and Conflict'],189,654,40,237,"The EWP is asking forecasters to help provide early risk assessments to policy makers, NGOs, and other international actors about the systematic killing of civilians resulting in mass fatalities (Early Warning Project). This question is part of a series of quarterly questions (Good Judgment Inc). It will be suspended on 31 December 2017 and will be resolved in October 2018 after EWP assesses the situation in Burundi from October 2017 through September 2018. Armed groups include but are not limited to state security forces, rebel armies, and other militias. Campaigns that systematically kill civilians include, but are not limited to, policies which intentionally kill civilians en masse (e.g., military strategies that intentionally target civilians, mass execution of a specific group) and policies that knowingly result in widespread death (e.g., mass starvation, confiscation of health care supplies, forced relocation). In general, unrelated executions of individuals or the accidental killing of civilians in war will not be considered a campaign to systematically kill civilians. If an armed group is engaged in multiple campaigns that systematically kill civilians (e.g., in different geographic areas, or targeted against separate civilian groups) those fatalities will be counted separately and the question will only resolve as yes if 1,000 civilian fatalities occur in one or more campaigns. See Early Warning Project for examples. See GJ’s FAQ on forecasting questions like this. Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/631-between-1-october-2017-and-30-september-2018-will-an-armed-group-from-burundi-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-burundi
45234,2018-01-01T06:37:09Z,1,[6.0],[6.0],
368,2017-12-31T18:44:10Z,92,[0.0],[0.0],
44377,2017-12-31T18:24:38Z,1,[11.0],[11.0],
43838,2017-12-31T16:21:19Z,1,[10.0],[10.0],
83,2017-12-31T16:17:26Z,1,[0.0],[0.0],
1034,2017-12-31T16:08:57Z,14,[0.0],[0.0],
691,2017-12-31T12:41:41Z,41,[0.0],[0.0],
43645,2017-12-31T07:24:17Z,1,[10.0],[10.0],
368,2017-12-31T03:19:25Z,91,[0.0],[0.0],
691,2017-12-30T20:49:35Z,40,[0.0],[0.0],
12879,2017-12-30T20:15:59Z,2,[1.0],[-69.0],
1034,2017-12-30T11:19:10Z,13,[0.0],[0.0],
368,2017-12-29T20:48:37Z,90,[0.0],[0.0],
1034,2017-12-29T09:00:55Z,12,[0.0],[0.0],
368,2017-12-29T01:34:32Z,89,[0.0],[0.0],
1034,2017-12-28T11:42:41Z,11,[0.0],[0.0],
43217,2017-12-27T21:38:19Z,1,[1.0],[1.0],
368,2017-12-27T20:59:38Z,88,[0.0],[0.0],
1034,2017-12-27T07:52:23Z,10,[0.0],[0.0],
368,2017-12-27T01:34:42Z,87,[0.0],[0.0],
1333,2017-12-26T18:11:41Z,2,[5.0],[5.0],
691,2017-12-26T15:07:42Z,39,[0.0],[0.0],
1034,2017-12-26T05:59:01Z,9,[0.0],[0.0],
368,2017-12-25T21:22:31Z,86,[0.0],[0.0],
1034,2017-12-25T07:55:08Z,8,[0.0],[0.0],
368,2017-12-25T00:18:17Z,85,[0.0],[0.0],
1034,2017-12-24T06:01:44Z,7,[0.0],[0.0],
368,2017-12-24T02:22:33Z,84,[0.0],[0.0],
1034,2017-12-23T08:03:19Z,6,[0.0],[0.0],
368,2017-12-23T03:01:19Z,83,[0.0],[0.0],
691,2017-12-22T21:05:44Z,38,[0.0],[0.0],
368,2017-12-22T17:19:28Z,82,[0.0],[0.0],
1034,2017-12-22T11:21:07Z,5,[0.0],[0.0],
368,2017-12-21T23:37:42Z,81,[0.0],[0.0],
1034,2017-12-21T15:31:15Z,4,[0.0],[0.0],
37236,2017-12-21T12:39:33Z,1,[0.0],[0.0],
368,2017-12-20T18:37:15Z,80,[0.0],[0.0],
1034,2017-12-20T05:21:35Z,3,[0.0],[0.0],
41523,2017-12-20T05:04:52Z,1,[0.0],[0.0],
368,2017-12-20T02:34:25Z,79,[0.0],[0.0],
691,2017-12-19T17:47:25Z,37,[0.0],[0.0],
1034,2017-12-19T05:44:57Z,2,[0.0],[0.0],
368,2017-12-19T05:35:11Z,78,[0.0],[0.0],
368,2017-12-19T00:52:52Z,77,[0.0],[0.0],
1034,2017-12-18T16:54:08Z,1,[0.0],[0.0],
37053,2017-12-18T15:21:11Z,1,[1.0],[1.0],
368,2017-12-18T02:31:38Z,76,[0.0],[0.0],
368,2017-12-16T20:36:39Z,75,[0.0],[0.0],
368,2017-12-15T23:52:49Z,74,[0.0],[0.0],
368,2017-12-14T19:21:46Z,73,[0.0],[0.0],
691,2017-12-14T17:40:34Z,36,[0.0],[0.0],
