"Between 1 October 2017 and 30 September 2018, will an armed group from Turkey engage in a campaign that systematically kills 1,000 or more civilians in Turkey?",2017-09-29T17:00:04Z,2018-01-01T07:59:37Z,No,"['Yes', 'No']",['Security and Conflict'],262,654,56,237,"The EWP is asking forecasters to help provide early risk assessments to policy makers, NGOs, and other international actors about the systematic killing of civilians resulting in mass fatalities (Early Warning Project). This question is part of a series of quarterly questions (Good Judgment Inc). It will be suspended on 31 December 2017 and will be resolved in October 2018 after EWP assesses the situation in Turkey from October 2017 through September 2018. Armed groups include but are not limited to state security forces, rebel armies, and other militias. Campaigns that systematically kill civilians include, but are not limited to, policies which intentionally kill civilians en masse (e.g., military strategies that intentionally target civilians, mass execution of a specific group) and policies that knowingly result in widespread death (e.g., mass starvation, confiscation of health care supplies, forced relocation). In general, unrelated executions of individuals or the accidental killing of civilians in war will not be considered a campaign to systematically kill civilians. If an armed group is engaged in multiple campaigns that systematically kill civilians (e.g., in different geographic areas, or targeted against separate civilian groups) those fatalities will be counted separately and the question will only resolve as yes if 1,000 civilian fatalities occur in one or more campaigns. See Early Warning Project for examples. See GJ’s FAQ on forecasting questions like this. Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/621-between-1-october-2017-and-30-september-2018-will-an-armed-group-from-turkey-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-turkey
45234,2018-01-01T06:39:28Z,1,[20.0],[20.0],
44460,2017-12-31T19:08:05Z,1,[100.0],[100.0],
368,2017-12-31T18:44:30Z,90,[0.0],[0.0],
44377,2017-12-31T18:28:13Z,1,[33.0],[33.0],
2965,2017-12-31T17:55:40Z,8,[0.0],[0.0],
1034,2017-12-31T16:09:02Z,63,[0.0],[0.0],
691,2017-12-31T12:40:33Z,40,[0.0],[0.0],
43645,2017-12-31T07:17:46Z,1,[15.0],[15.0],
368,2017-12-31T03:20:24Z,89,[0.0],[0.0],
691,2017-12-30T20:48:07Z,39,[0.0],[0.0],
12879,2017-12-30T20:19:14Z,2,[1.0],[-14.0],
83,2017-12-30T20:03:39Z,1,[0.0],[0.0],
1034,2017-12-30T11:19:18Z,62,[0.0],[0.0],
11800,2017-12-30T10:54:09Z,1,[0.0],[0.0],"It is very clear that the current internal security issues will continue through 2018 and beyond. there is no one willing to talk to each other. but if the prediction will be met, hope sincerely not. Beside hope i also judge it unlikely."
368,2017-12-29T21:14:33Z,88,[0.0],[0.0],
368,2017-12-29T20:49:16Z,87,[0.0],[0.0],
1034,2017-12-29T09:01:04Z,61,[0.0],[0.0],
368,2017-12-29T01:35:28Z,86,[0.0],[0.0],
1034,2017-12-28T11:42:54Z,60,[0.0],[0.0],
43217,2017-12-27T21:34:00Z,1,[2.0],[2.0],
368,2017-12-27T21:00:08Z,85,[0.0],[0.0],
1034,2017-12-27T07:52:38Z,59,[0.0],[0.0],
368,2017-12-27T01:35:42Z,84,[0.0],[0.0],
41523,2017-12-27T00:39:30Z,2,[0.0],[-5.0],
691,2017-12-26T15:05:42Z,38,[0.0],[0.0],
1034,2017-12-26T05:59:13Z,58,[0.0],[0.0],
368,2017-12-25T21:23:08Z,83,[0.0],[0.0],
1034,2017-12-25T07:55:22Z,57,[0.0],[0.0],
368,2017-12-25T00:19:16Z,82,[0.0],[0.0],
1034,2017-12-24T06:10:14Z,56,[0.0],[0.0],
