"Before 1 January 2018, will the U.S. Federal Aviation Administration grant a waiver allowing Amazon to test its unmanned aerial vehicles?",2017-01-06T18:00:14Z,2018-01-01T07:59:14Z,No,"['Yes', 'No']",['Technology'],1434,654,414,237,"Amazon completed its first drone delivery in the U.K., the debut of its unmanned aerial vehicle (UAV) shipping service (The Guardian). U.S. commercial drone rules were finalized at the end of August 2016 (FAA). Among other things, they require operators to maintain visual line of site with the drones (FAA, Fortune). Since passing the regulation, U.S. regulators have been granting waivers for companies to test drone delivery (FAA). 7-Eleven, which became the first major company to use drones for deliveries in the U.S.,did so without a waiver because its drone operators maintained line of site for short range delivery (CNBC). Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/379-before-1-january-2018-will-the-u-s-federal-aviation-administration-grant-a-waiver-allowing-amazon-to-test-its-unmanned-aerial-vehicles
44995,2017-12-31T22:31:06Z,1,[80.0],[80.0],UAVs are the future of civilian aerospace
44760,2017-12-31T20:54:47Z,1,[0.0],[0.0],
368,2017-12-31T19:09:21Z,263,[0.0],[0.0],
29591,2017-12-31T18:06:21Z,33,[0.0],[0.0],
1034,2017-12-31T16:05:32Z,41,[0.0],[0.0],
10449,2017-12-31T15:40:55Z,2,[0.0],[0.0],
30364,2017-12-31T15:13:29Z,33,[0.0],[-1.0],
691,2017-12-31T12:35:41Z,222,[0.0],[0.0],
43669,2017-12-31T10:10:54Z,1,[100.0],[100.0],
37520,2017-12-31T09:40:48Z,1,[0.0],[0.0],
12726,2017-12-31T06:47:49Z,18,[0.0],[-1.0],
15414,2017-12-31T06:45:17Z,6,[0.0],[-5.0],
368,2017-12-31T03:35:32Z,262,[0.0],[0.0],
13974,2017-12-30T23:09:25Z,2,[0.0],[-75.0],
691,2017-12-30T20:42:03Z,221,[0.0],[0.0],
1034,2017-12-30T11:08:49Z,40,[0.0],[0.0],
20156,2017-12-30T10:50:24Z,5,[0.0],[-20.0],
21884,2017-12-30T07:58:13Z,19,[0.0],[0.0],
32539,2017-12-30T05:39:03Z,6,[0.0],[-90.0],
23861,2017-12-30T03:34:09Z,5,[0.0],[-3.0],
29680,2017-12-30T03:02:05Z,5,[0.0],[-5.0],
368,2017-12-29T21:02:00Z,261,[0.0],[0.0],
14432,2017-12-29T19:04:01Z,1,[0.0],[0.0],
22308,2017-12-29T15:22:55Z,1,[0.0],[0.0],
1034,2017-12-29T08:57:51Z,39,[0.0],[0.0],
21884,2017-12-29T06:12:12Z,18,[0.0],[0.0],
368,2017-12-29T02:01:51Z,260,[0.0],[0.0],
31347,2017-12-28T15:58:41Z,4,[1.0],[-9.0],
1034,2017-12-28T11:36:33Z,38,[0.0],[0.0],
10612,2017-12-28T09:35:26Z,3,[0.0],[0.0],
21884,2017-12-28T01:37:22Z,17,[0.0],[0.0],
1993,2017-12-28T00:59:31Z,9,[0.0],[-2.0],
691,2017-12-27T23:12:08Z,220,[0.0],[0.0],
368,2017-12-27T21:30:01Z,259,[0.0],[0.0],
29591,2017-12-27T18:30:00Z,32,[0.0],[0.0],
21884,2017-12-27T09:45:46Z,16,[0.0],[0.0],
1034,2017-12-27T07:48:38Z,37,[0.0],[0.0],
368,2017-12-27T02:06:34Z,258,[0.0],[0.0],
41523,2017-12-27T00:34:04Z,3,[0.0],[-4.0],
530,2017-12-26T21:15:06Z,8,[0.0],[-10.0],
948,2017-12-26T20:15:49Z,5,[0.0],[-3.0],
30364,2017-12-26T15:21:38Z,32,[1.0],[0.0],
691,2017-12-26T13:19:19Z,219,[0.0],[0.0],
1034,2017-12-26T05:48:23Z,36,[0.0],[0.0],
368,2017-12-25T21:54:53Z,257,[0.0],[0.0],
1333,2017-12-25T18:02:20Z,22,[0.0],[-5.0],
10612,2017-12-25T15:05:24Z,2,[0.0],[0.0],
1034,2017-12-25T07:46:20Z,35,[0.0],[0.0],
368,2017-12-25T01:10:32Z,256,[0.0],[0.0],
42894,2017-12-24T19:40:22Z,1,[0.0],[0.0],
11800,2017-12-24T13:06:13Z,2,[0.0],[-1.0],
1034,2017-12-24T05:57:00Z,34,[0.0],[0.0],
21884,2017-12-24T03:23:46Z,15,[0.0],[0.0],
42883,2017-12-24T02:43:22Z,1,[90.0],[90.0],"The US government is technologically clueless, therefore a slave to special interests. The advice they take regarding cyberpolicy is all coming from the tech giants who do, and will continue to rule a corporate owned internet. Cluelessness at the highest level was demonstrated by Jeff Sessions at Senate Committee hearings, proving that, arguably, the White House's top ""performer"" knows nothing. That means our whole government is putting our security, therefore our national security in the hands of these tech giants. From an old hacker's perspective, my own, I'd interpret Russia's actions, including all election tampering, as an exercise and a dare. It is a dare to see if the Americans are still taking the world seriously. And, the Russians encourage hacking rather than prosecuting people for dissent just for speaking about it. And hacking is a very broad field, a science of reverse engineering. In Russia, they know the difference between hacking and social engineering. It is absolutely vital for all Americans to understand this difference moving forward."
368,2017-12-24T02:42:17Z,255,[0.0],[0.0],
10612,2017-12-23T14:38:37Z,1,[0.0],[0.0],
1034,2017-12-23T07:58:10Z,33,[0.0],[0.0],
368,2017-12-23T03:23:23Z,254,[0.0],[0.0],
42315,2017-12-23T01:41:58Z,1,[0.0],[0.0],
691,2017-12-22T20:59:42Z,218,[0.0],[0.0],
14777,2017-12-22T18:32:45Z,17,[0.0],[-1.0],
368,2017-12-22T17:44:28Z,253,[0.0],[0.0],
30364,2017-12-22T14:18:25Z,31,[1.0],[0.0],
1034,2017-12-22T11:14:20Z,32,[0.0],[0.0],
15621,2017-12-22T06:31:48Z,18,[0.0],[-1.0],
21884,2017-12-22T02:45:35Z,14,[0.0],[0.0],
368,2017-12-21T23:51:23Z,252,[0.0],[0.0],
11686,2017-12-21T18:33:34Z,4,[0.0],[-5.0],
1034,2017-12-21T15:26:07Z,31,[0.0],[0.0],
1529,2017-12-21T04:34:33Z,4,[0.0],[-5.0],
368,2017-12-20T19:19:57Z,251,[0.0],[0.0],
29591,2017-12-20T19:18:45Z,31,[0.0],[0.0],Maintaining forecast; no recent news from Amazon on testing in the U.S. Current reports involve patenting or testing in the U.K.
41270,2017-12-20T14:17:31Z,2,[0.0],[-1.0],
23006,2017-12-20T11:17:12Z,17,[0.0],[0.0],
1034,2017-12-20T05:17:12Z,30,[0.0],[0.0],
5018,2017-12-20T02:55:59Z,2,[0.0],[-10.0],
368,2017-12-20T02:53:29Z,250,[0.0],[0.0],
691,2017-12-19T17:40:56Z,217,[0.0],[0.0],
15621,2017-12-19T07:45:49Z,17,[1.0],[-2.0],
25141,2017-12-19T07:07:45Z,1,[0.0],[0.0],
368,2017-12-19T05:39:34Z,249,[0.0],[0.0],
1034,2017-12-19T05:29:38Z,29,[0.0],[0.0],
368,2017-12-19T01:04:37Z,248,[0.0],[0.0],
37053,2017-12-18T15:45:13Z,3,[1.0],[-1.0],
37053,2017-12-18T15:18:27Z,2,[2.0],[-13.0],
30364,2017-12-18T13:57:59Z,30,[1.0],[0.0],
12726,2017-12-18T06:33:22Z,17,[1.0],[-3.0],
1034,2017-12-18T05:38:05Z,28,[0.0],[0.0],
368,2017-12-18T02:54:20Z,247,[0.0],[0.0],
30400,2017-12-17T11:41:23Z,1,[0.0],[0.0],
1034,2017-12-17T07:04:07Z,27,[0.0],[0.0],
368,2017-12-16T20:59:48Z,246,[0.0],[0.0],
21884,2017-12-16T17:31:02Z,13,[0.0],[0.0],
1034,2017-12-16T05:43:37Z,26,[0.0],[0.0],
42450,2017-12-16T04:51:53Z,1,[0.0],[0.0],
22689,2017-12-16T04:00:54Z,2,[0.0],[-35.0],
368,2017-12-16T00:17:51Z,245,[0.0],[0.0],
16778,2017-12-15T14:42:57Z,4,[1.0],[-34.0],
39938,2017-12-15T14:23:22Z,3,[0.0],[-5.0],
21884,2017-12-15T10:57:21Z,12,[0.0],[0.0],
368,2017-12-14T19:40:22Z,244,[0.0],[0.0],
691,2017-12-14T17:33:37Z,216,[0.0],[0.0],
21884,2017-12-14T05:49:41Z,11,[0.0],[0.0],
1034,2017-12-14T05:46:54Z,25,[0.0],[0.0],
1993,2017-12-14T02:26:08Z,8,[2.0],[-3.0],
368,2017-12-13T18:54:55Z,243,[0.0],[0.0],
1034,2017-12-13T07:37:24Z,24,[0.0],[0.0],
23006,2017-12-13T02:57:11Z,16,[0.0],[-7.0],
368,2017-12-13T02:05:16Z,242,[0.0],[0.0],
29591,2017-12-12T20:10:32Z,30,[0.0],[0.0],
15414,2017-12-12T18:40:39Z,5,[5.0],[-10.0],Time has practically run out
1034,2017-12-12T08:43:30Z,23,[0.0],[0.0],
15196,2017-12-12T06:30:01Z,4,[0.0],[-5.0],
21884,2017-12-12T03:33:47Z,10,[0.0],[0.0],
1064,2017-12-12T03:16:33Z,4,[0.0],[-75.0],
368,2017-12-12T00:55:21Z,241,[0.0],[0.0],
14777,2017-12-11T16:21:54Z,16,[1.0],[-1.0],
1034,2017-12-11T05:38:18Z,22,[0.0],[0.0],
21884,2017-12-11T02:21:05Z,9,[0.0],[-1.0],
368,2017-12-10T19:56:16Z,240,[0.0],[0.0],
691,2017-12-10T14:18:28Z,215,[0.0],[0.0],
1034,2017-12-10T08:33:51Z,21,[0.0],[0.0],
368,2017-12-10T01:17:36Z,239,[0.0],[0.0],
33955,2017-12-09T17:40:18Z,3,[10.0],[-10.0],
33955,2017-12-09T17:39:59Z,2,[20.0],[-20.0],
30364,2017-12-09T15:35:33Z,29,[1.0],[0.0],
37451,2017-12-09T13:48:22Z,1,[0.0],[0.0],
1034,2017-12-09T08:23:44Z,20,[0.0],[0.0],
2241,2017-12-09T02:52:21Z,2,[5.0],[-10.0],
18869,2017-12-09T00:48:03Z,1,[20.0],[20.0],
12726,2017-12-08T23:46:25Z,16,[4.0],[-3.0],
29680,2017-12-08T22:00:38Z,4,[5.0],[-15.0],
1333,2017-12-08T21:47:19Z,21,[5.0],[-10.0],
39938,2017-12-08T16:08:27Z,2,[5.0],[-25.0],
1034,2017-12-08T08:11:49Z,19,[0.0],[0.0],
1034,2017-12-08T03:54:00Z,18,[0.0],[0.0],
37379,2017-12-08T01:52:49Z,1,[0.0],[0.0],
40318,2017-12-08T00:40:05Z,2,[0.0],[-5.0],
368,2017-12-07T16:19:12Z,238,[0.0],[0.0],
368,2017-12-06T20:53:44Z,237,[0.0],[0.0],
1034,2017-12-06T06:10:55Z,17,[0.0],[0.0],
14761,2017-12-05T22:20:47Z,7,[1.0],[-8.0],
15621,2017-12-05T21:51:38Z,16,[3.0],[-4.0],Passage of time
84,2017-12-05T21:41:18Z,1,[0.0],[0.0],No urgency with little time remaining.
41318,2017-12-05T18:11:12Z,2,[2.0],[-1.0],
32988,2017-12-05T17:29:02Z,3,[1.0],[-64.0],
34959,2017-12-05T14:16:23Z,1,[0.0],[0.0],
1034,2017-12-05T07:59:14Z,16,[0.0],[0.0],
12726,2017-12-05T06:36:17Z,15,[7.0],[-1.0],
23006,2017-12-05T01:24:46Z,15,[7.0],[-8.0],
31275,2017-12-04T23:12:13Z,3,[10.0],[-48.0],These questions I am going with consensus. Just tracking HFC
368,2017-12-04T19:15:33Z,236,[0.0],[0.0],
30364,2017-12-04T14:18:46Z,28,[1.0],[0.0],
691,2017-12-04T14:17:14Z,214,[0.0],[0.0],
30610,2017-12-04T08:42:54Z,5,[0.0],[-5.0],
22132,2017-12-04T02:22:11Z,1,[0.0],[0.0],
368,2017-12-04T01:45:31Z,235,[0.0],[0.0],
1034,2017-12-04T00:45:17Z,15,[0.0],[0.0],
14777,2017-12-03T14:16:46Z,15,[2.0],[-2.0],
368,2017-12-02T18:44:53Z,234,[0.0],[0.0],
1034,2017-12-02T06:07:31Z,14,[0.0],[0.0],
41523,2017-12-02T05:36:04Z,2,[4.0],[-1.0],
29054,2017-12-02T00:52:33Z,3,[0.0],[-100.0],politics have take over!
31317,2017-12-02T00:19:40Z,3,[1.0],[-9.0],
30364,2017-12-01T23:08:57Z,27,[1.0],[0.0],
29591,2017-12-01T21:30:21Z,29,[0.0],[-1.0],"There are rumours that Nevada State will partner with Amazon in the FAA pilot program: http://www.rgj.com/story/money/business/2017/11/28/amazon-hq-2-nevada-skies-drones-faa-pilot-program/902286001/ Even if the rumours turn out to be true, the “Interested Parties must submit a request by 2.00pm ET, December 13, 2017” Then, “By 2.00pm ET, January 4, 2018: Lead applicants complete volumes III, IV, V and VI, in the application portal” (https://www.faa.gov/uas/programs_partnerships/uas_integration_pilot_program/) Which suggests a waiver will not be granted between now and 1 January 2018."
23861,2017-12-01T16:30:27Z,4,[3.0],[-67.0],
368,2017-12-01T13:36:18Z,233,[0.0],[0.0],
1034,2017-12-01T07:30:12Z,13,[0.0],[0.0],
368,2017-12-01T02:53:58Z,232,[0.0],[0.0],
368,2017-11-30T22:26:06Z,231,[0.0],[0.0],
40741,2017-11-30T17:24:37Z,1,[72.0],[72.0],
42026,2017-11-30T16:29:08Z,1,[65.0],[65.0],
691,2017-11-30T15:52:26Z,213,[0.0],[-1.0],
1034,2017-11-30T06:14:32Z,12,[0.0],[0.0],
368,2017-11-29T19:36:55Z,230,[0.0],[0.0],
35,2017-11-29T00:36:29Z,4,[0.0],[-1.0],
368,2017-11-28T22:01:51Z,229,[0.0],[0.0],
691,2017-11-28T20:30:11Z,212,[1.0],[0.0],
30364,2017-11-28T19:11:50Z,26,[1.0],[0.0],
1993,2017-11-28T12:23:14Z,7,[5.0],[-10.0],
1034,2017-11-28T07:49:21Z,11,[0.0],[0.0],
368,2017-11-28T00:45:21Z,228,[0.0],[0.0],
41842,2017-11-27T21:30:32Z,1,[7.0],[7.0],
1034,2017-11-27T07:00:30Z,10,[0.0],[0.0],
368,2017-11-27T02:10:48Z,227,[0.0],[0.0],
14777,2017-11-27T01:10:46Z,14,[4.0],[-1.0],
14777,2017-11-27T01:10:35Z,13,[5.0],[-4.0],
12726,2017-11-26T22:55:12Z,14,[8.0],[-5.0],
30364,2017-11-26T14:41:55Z,25,[1.0],[0.0],
530,2017-11-26T13:21:24Z,7,[10.0],[-20.0],
1034,2017-11-26T07:16:25Z,9,[0.0],[0.0],
13377,2017-11-26T07:13:08Z,16,[0.0],[-5.0],
368,2017-11-26T01:29:55Z,226,[0.0],[0.0],
41682,2017-11-25T15:42:17Z,1,[15.0],[15.0],Waivers will be granted but not yet this year with holidays upon us.
1333,2017-11-25T14:37:49Z,20,[15.0],[-10.0],
691,2017-11-25T13:19:12Z,211,[1.0],[0.0],
1034,2017-11-25T07:56:19Z,8,[0.0],[0.0],
1034,2017-11-24T20:19:53Z,7,[0.0],[0.0],
368,2017-11-24T17:04:05Z,225,[0.0],[0.0],
691,2017-11-24T16:16:08Z,210,[1.0],[-2.0],
30364,2017-11-24T05:29:10Z,24,[1.0],[0.0],
368,2017-11-24T01:26:39Z,224,[0.0],[0.0],
29591,2017-11-23T21:41:03Z,28,[1.0],[-1.0],
39926,2017-11-23T13:40:59Z,1,[12.0],[12.0],
21884,2017-11-23T07:22:53Z,8,[1.0],[0.0],
41523,2017-11-23T05:38:33Z,1,[5.0],[5.0],
368,2017-11-23T00:09:47Z,223,[0.0],[0.0],
31450,2017-11-22T22:33:46Z,6,[0.0],[-5.0],"Not much time left, disappointing but I don't think this will happen this year."
29680,2017-11-22T10:11:12Z,3,[20.0],[-55.0],
11800,2017-11-22T06:52:03Z,1,[1.0],[1.0],
1034,2017-11-22T06:43:59Z,6,[0.0],[0.0],
368,2017-11-22T00:19:35Z,222,[0.0],[0.0],
691,2017-11-21T21:17:02Z,209,[3.0],[0.0],
1034,2017-11-21T06:40:24Z,5,[0.0],[0.0],
