Will the government of Colombia and the FARC renegotiate a peace agreement before 1 March 2017?,2016-11-08T18:00:52Z,2016-11-13T18:00:42Z,Yes,"['Yes', 'No']",['Security and Conflict'],120,654,70,237,"This question was closed with the correct answer 'Yes' with an end date of 13 November 2016. The government of Columbia and the FARC reached an agreement on a new peace deal on 13 November 2016 (BBC, CNN, NPR). See our FAQ to learn about how we resolve questions and how scores are calculated",https://www.gjopen.com/questions/345-will-the-government-of-colombia-and-the-farc-renegotiate-a-peace-agreement-before-1-march-2017
1333,2016-11-16T15:59:21Z,3,[96.0],[1.0],"...incorporating several suggestions from Mr. Santos’s critics, was reached after marathon negotiating sessions in Havana. It is unclear whether the government intends to hold a new plebiscite or simply have Congress approve the agreement. http://www.nytimes.com/2016/11/15/opinion/colombias-revised-peace-accord.html?emc=edit_ee_20161115&nl=todaysheadlines-europe&nlid=70183565&_r=0"
1034,2016-11-16T07:11:48Z,9,[100.0],[0.0],"Murphy (2016) Wed Nov 16, states that:"
30289,2016-11-16T00:41:23Z,1,[80.0],[80.0],
476,2016-11-15T21:28:32Z,1,[79.0],[79.0],"The FARC can give this ""deal"" two thumbs up publiclly and gamble that the old health issues that have returned to ""surprise"" president Santos may erode his political equity and slow the agreement, ergo cause the approving the ""deal"" to linger past the close of this forecasting problem. Link to return of Santos prostate cancer in Miami Herald here. http://www.miamiherald.com/news/nation-world/world/americas/colombia/article114862333.html"
1034,2016-11-15T21:08:33Z,8,[100.0],[0.0],"Future of Colombia s new peace deal with FARC rests with No campaign Nolen (2016) Nov. 14, states that:"
1333,2016-11-15T20:54:51Z,2,[95.0],[95.0],
4139,2016-11-15T20:48:51Z,1,[89.0],[89.0],"The question is, will the populace approve the new dea;?"
368,2016-11-15T20:38:39Z,8,[100.0],[0.0],
12879,2016-11-15T17:47:18Z,3,[98.0],[9.0],
30274,2016-11-15T17:41:32Z,1,[25.0],[25.0],
691,2016-11-15T17:38:07Z,7,[98.0],[0.0],
29568,2016-11-15T08:45:25Z,1,[88.0],[88.0],
1034,2016-11-15T08:20:28Z,7,[100.0],[0.0],Future of Colombia s new peace deal with FARC rests with No campaign
30264,2016-11-15T08:17:27Z,1,[90.0],[90.0],
368,2016-11-14T21:35:02Z,7,[100.0],[0.0],
12591,2016-11-14T20:59:07Z,1,[100.0],[100.0],
987,2016-11-14T20:24:05Z,1,[100.0],[100.0],
23589,2016-11-14T20:13:12Z,1,[85.0],[85.0],
691,2016-11-14T19:45:01Z,6,[98.0],[0.0],
29512,2016-11-14T19:37:56Z,1,[99.0],[99.0],
30021,2016-11-14T17:54:37Z,1,[100.0],[100.0],
29776,2016-11-14T15:28:48Z,2,[90.0],[80.0],
30175,2016-11-14T14:18:58Z,2,[100.0],[80.0],
28414,2016-11-14T09:49:23Z,3,[100.0],[95.0],
1034,2016-11-14T09:31:04Z,6,[100.0],[100.0],"I am having to shift positions in the question wording there exist two points which would have me hold off on doing so, the term ""renegotiate"" and interim agreements on specific topics. First there was no renegotiations just to a new deal just which amended sections of the original peace deal."
30187,2016-11-14T07:10:00Z,1,[95.0],[95.0],
27798,2016-11-14T07:09:33Z,1,[80.0],[80.0],
15196,2016-11-14T02:50:25Z,1,[25.0],[25.0],
6303,2016-11-14T02:06:16Z,1,[99.0],[99.0],According to the general news and GJP consensus.
368,2016-11-13T21:24:53Z,6,[100.0],[90.0],
83,2016-11-13T21:22:46Z,1,[100.0],[100.0],
28982,2016-11-13T21:19:01Z,1,[98.0],[98.0],
4273,2016-11-13T20:09:35Z,3,[100.0],[40.0],
38,2016-11-13T19:17:56Z,1,[100.0],[100.0],
1468,2016-11-13T19:04:35Z,1,[85.0],[85.0],
12879,2016-11-13T16:26:18Z,2,[89.0],[59.0],
1028,2016-11-13T15:49:20Z,1,[85.0],[85.0],
691,2016-11-13T15:34:55Z,5,[98.0],[6.0],
3363,2016-11-13T15:31:36Z,2,[91.0],[6.0],
10039,2016-11-13T14:36:35Z,2,[100.0],[60.0],
30207,2016-11-13T14:34:32Z,1,[85.0],[85.0],
8622,2016-11-13T13:29:10Z,1,[99.0],[99.0],The Government of Colombia & the FARC renegotiated a new peace agreement yesterday. It should be approved the congress shortly.
21180,2016-11-13T13:12:42Z,1,[35.0],[35.0],
1050,2016-11-13T13:03:18Z,2,[100.0],[95.0],
1034,2016-11-13T09:26:33Z,5,[0.0],[0.0],"A proposal is a plan, a scheme, an offer to be accepted or rejected: to make proposals for peace. This is still the original peace deal with slight shift in wording. I am still not sure it meets the criteria of a renegotiated peace agreement, inasmuch as it only shifts a small amount of money the government was going to take to a fund for victims. That is the same deal they had before only the government agreed to allow the government to release some of the funds it would received to the people. The government of Colombia renegotiate a condition which the government already held, which cold have been accomplished outside of the peace agreement. Still the end condition will have been accomplished if the opposition accepts the governments concessions, yet ratification exits not a condition. However there seems to exits a possibility of a rejection by the opposition, which would lead to more negotiations on the more than 50 points of interest they hold. Although, the opposition was expecting concession from FARC during the renegotiate a peace agreement ."
21800,2016-11-13T08:26:14Z,1,[95.0],[95.0],
20156,2016-11-13T06:54:55Z,2,[95.0],[35.0],
