"What will be the percentage increase in the producer price index (PPI) for ""Self-Service Storage and Miniwarehouses"" for December 2022 as compared to December 2021?",2022-03-30T21:00:00Z,2023-01-01T08:01:00Z,"Between 12.0% and 15.0%, inclusive","['Less than 5.0%', 'Between 5.0% and 8.0%, inclusive', 'More than 8.0% but less than 12.0%', 'Between 12.0% and 15.0%, inclusive', 'More than 15.0%']","['Business', 'Economic Indicators']",229,654,40,237,,https://www.gjopen.com/questions/2330-what-will-be-the-percentage-increase-in-the-producer-price-index-ppi-for-self-service-storage-and-miniwarehouses-for-december-2022-as-compared-to-december-2021
105312,2022-12-31T21:14:37Z,2,"[0.0, 10.0, 50.0, 40.0, 0.0]","[0.0, 10.0, 36.0, -43.0, -3.0]"
4531,2022-12-31T15:11:55Z,5,"[0.0, 0.0, 0.0, 51.0, 49.0]","[0.0, 0.0, -4.0, -1.0, 5.0]",
19260,2022-12-30T11:47:41Z,1,"[0.0, 0.0, 0.0, 53.0, 47.0]","[0.0, 0.0, 0.0, 53.0, 47.0]",
49937,2022-12-29T19:23:09Z,15,"[0.0, 0.0, 0.0, 55.0, 45.0]","[0.0, 0.0, 0.0, 5.0, -5.0]",I think we are more than likely going to see a flat or negative month.
34959,2022-12-27T15:45:44Z,11,"[0.0, 0.0, 0.0, 47.0, 53.0]","[0.0, 0.0, -1.0, 3.0, -2.0]",
56974,2022-12-27T13:44:44Z,7,"[0.0, 0.0, 0.0, 60.0, 40.0]","[0.0, 0.0, 0.0, 15.0, -15.0]",
105570,2022-12-25T17:34:38Z,2,"[0.0, 0.0, 12.0, 32.0, 56.0]","[-3.0, -15.0, -58.0, 20.0, 56.0]",
4531,2022-12-25T15:53:11Z,4,"[0.0, 0.0, 4.0, 52.0, 44.0]","[0.0, 0.0, -1.0, 16.0, -15.0]",
45594,2022-12-25T09:13:29Z,2,"[5.0, 5.0, 10.0, 40.0, 40.0]","[0.0, -5.0, -30.0, 10.0, 25.0]",
691,2022-12-23T18:19:09Z,20,"[0.0, 0.0, 0.0, 54.0, 46.0]","[0.0, 0.0, 0.0, 8.0, -8.0]",
96828,2022-12-23T15:58:27Z,27,"[0.0, 0.0, 13.0, 46.0, 41.0]","[0.0, -1.0, 0.0, 25.0, -24.0]",
84880,2022-12-21T01:22:19Z,5,"[0.0, 0.0, 0.0, 53.0, 47.0]","[0.0, -1.0, -15.0, 8.0, 8.0]",
103258,2022-12-20T21:55:50Z,12,"[0.0, 0.0, 0.0, 45.0, 55.0]","[-1.0, 0.0, -2.0, -3.0, 6.0]",
14603,2022-12-19T08:37:21Z,20,"[0.0, 0.0, 0.0, 50.0, 50.0]","[0.0, 0.0, 0.0, -15.0, 15.0]",
102675,2022-12-18T15:35:02Z,9,"[0.0, 0.0, 1.0, 95.0, 4.0]","[0.0, 0.0, 0.0, 42.0, -42.0]",
102675,2022-12-18T15:31:40Z,8,"[0.0, 0.0, 1.0, 53.0, 46.0]","[0.0, 0.0, 0.0, 24.0, -24.0]",
691,2022-12-17T19:02:09Z,19,"[0.0, 0.0, 0.0, 46.0, 54.0]","[0.0, 0.0, -1.0, 4.0, -3.0]",
67312,2022-12-15T22:22:15Z,11,"[0.0, 0.0, 0.0, 52.0, 48.0]","[0.0, 0.0, 0.0, 11.0, -11.0]",
14603,2022-12-15T08:24:53Z,19,"[0.0, 0.0, 0.0, 65.0, 35.0]","[0.0, 0.0, 0.0, 15.0, -15.0]",
14603,2022-12-15T08:22:48Z,18,"[0.0, 0.0, 0.0, 50.0, 50.0]","[0.0, 0.0, 0.0, 35.0, -35.0]",
104025,2022-12-14T17:41:08Z,6,"[0.0, 0.0, 0.0, 28.0, 72.0]","[0.0, 0.0, 0.0, -7.0, 7.0]",revising with November data - Nov was 14.75% growth - up from 14.4 in October
56974,2022-12-14T13:41:46Z,6,"[0.0, 0.0, 0.0, 45.0, 55.0]","[0.0, 0.0, -15.0, 5.0, 10.0]",
94872,2022-12-13T02:42:38Z,18,"[0.0, 0.0, 0.0, 50.0, 50.0]","[0.0, 0.0, 0.0, 10.0, -10.0]",
4531,2022-12-12T16:55:27Z,3,"[0.0, 0.0, 5.0, 36.0, 59.0]","[0.0, -2.0, -70.0, 14.0, 58.0]",
49937,2022-12-11T23:08:30Z,14,"[0.0, 0.0, 0.0, 50.0, 50.0]","[0.0, 0.0, -1.0, 35.0, -34.0]",170.9 in Nov for an increase of .5 from the month prior.
691,2022-12-10T17:35:11Z,18,"[0.0, 0.0, 1.0, 42.0, 57.0]","[0.0, -8.0, -9.0, -6.0, 23.0]",
96828,2022-12-10T15:17:00Z,26,"[0.0, 1.0, 13.0, 21.0, 65.0]","[0.0, 0.0, -1.0, 0.0, 1.0]",
67312,2022-12-10T00:50:21Z,10,"[0.0, 0.0, 0.0, 41.0, 59.0]","[0.0, 0.0, 0.0, -12.0, 12.0]",
103258,2022-12-08T21:48:43Z,11,"[1.0, 0.0, 2.0, 48.0, 49.0]","[0.0, 0.0, -2.0, -17.0, 19.0]",
34959,2022-12-08T06:23:08Z,10,"[0.0, 0.0, 1.0, 44.0, 55.0]","[0.0, 0.0, -5.0, -17.0, 22.0]",
84698,2022-12-07T23:11:29Z,2,"[0.0, 0.0, 39.0, 52.0, 9.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",
102675,2022-12-07T10:54:02Z,7,"[0.0, 0.0, 1.0, 29.0, 70.0]","[0.0, 0.0, -25.0, -26.0, 51.0]",
104025,2022-12-06T19:53:13Z,5,"[0.0, 0.0, 0.0, 35.0, 65.0]","[0.0, 0.0, 0.0, -30.0, 30.0]",revising estimation - difference from Dec 21 to Oct 22 was 14.4% increase
107718,2022-12-06T16:26:53Z,4,"[0.0, 0.0, 0.0, 70.0, 30.0]","[0.0, 0.0, -10.0, 20.0, -10.0]",
88452,2022-12-06T16:22:20Z,7,"[0.0, 0.0, 1.0, 64.0, 35.0]","[0.0, -1.0, -2.0, -6.0, 9.0]",.
56974,2022-12-06T13:37:34Z,5,"[0.0, 0.0, 15.0, 40.0, 45.0]","[0.0, 0.0, -15.0, 0.0, 15.0]",
56974,2022-12-06T13:37:04Z,4,"[0.0, 0.0, 30.0, 40.0, 30.0]","[0.0, 0.0, -20.0, -10.0, 30.0]",
