"Before 11 March 2023, will American basketball player Brittney Griner leave Russia?",2022-11-11T18:00:00Z,2022-12-08T09:00:38Z,Yes,"['Yes', 'No']","['Foreign Policy', 'US Politics', 'Non-US Politics']",126,514,65,204,,https://www.gjopen.com/questions/2620-before-11-march-2023-will-american-basketball-player-brittney-griner-leave-russia
1333,2022-12-08T15:38:49Z,10,[100.0],[90.0]
105622,2022-12-08T15:38:45Z,6,[100.0],[90.0],
107394,2022-12-08T15:15:03Z,2,[100.0],[100.0],
105209,2022-12-08T15:03:46Z,4,[100.0],[94.0],
86554,2022-12-08T15:02:50Z,4,[100.0],[88.0],
86607,2022-12-08T14:25:27Z,5,[100.0],[82.0],
108211,2022-12-08T14:24:26Z,2,[100.0],[90.0],"My first big error here, I'm sure there will be many more. Too much weight to my own personal opinion about the matter? Not paying enough mind to reports that hinted at ongoing negotiations."
102121,2022-12-08T14:22:01Z,4,[100.0],[88.0],
20156,2022-12-08T14:19:14Z,2,[100.0],[85.0],https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-12-08-22/index.html
89038,2022-12-08T14:17:16Z,7,[99.0],[74.0],
77412,2022-12-08T13:57:16Z,3,[100.0],[1.0],
106866,2022-12-08T13:52:08Z,2,[100.0],[97.0],Poor Paul Whelan is still waiting to come home...
96828,2022-12-08T13:48:02Z,4,[99.0],[0.0],"She was announced to have been freed in a prisoner swap with Russia, which occurred in Abu Dhabi, according to ABC News. Last question about Griner I was too hesitant to join the crowd so low, and this time it seems I was too low."
77412,2022-12-08T13:44:17Z,2,[99.0],[49.0],
103258,2022-12-08T13:27:44Z,5,[100.0],[78.0],
87571,2022-12-08T13:20:49Z,2,[98.0],[94.0],
961,2022-12-08T13:18:37Z,6,[100.0],[86.0],
81431,2022-12-08T13:18:34Z,3,[100.0],[92.0],
80475,2022-12-08T13:16:01Z,1,[100.0],[100.0],
96828,2022-12-08T13:13:02Z,3,[99.0],[83.0],
105622,2022-12-06T16:33:13Z,5,[10.0],[5.0],
14208,2022-12-06T15:24:07Z,2,[50.0],[15.0],he already has under a false identity no secrets ho’s
102121,2022-12-06T08:51:20Z,3,[12.0],[-1.0],
21865,2022-12-06T06:25:28Z,1,[1.0],[1.0],
107329,2022-12-05T22:33:08Z,2,[9.0],[2.0],
1333,2022-12-05T16:05:49Z,9,[10.0],[-1.0],
107093,2022-12-05T10:07:10Z,4,[11.0],[-2.0],
103258,2022-12-04T20:48:56Z,4,[22.0],[-1.0],
89038,2022-12-03T18:47:43Z,6,[25.0],[-5.0],
102962,2022-12-03T17:07:12Z,1,[29.0],[29.0],
50568,2022-12-03T11:43:14Z,1,[0.0],[0.0],
107946,2022-12-02T21:43:59Z,1,[100.0],[100.0],
530,2022-12-02T20:06:33Z,2,[10.0],[7.0],
86607,2022-12-02T14:54:37Z,4,[18.0],[-1.0],
103258,2022-12-01T22:29:31Z,3,[23.0],[-2.0],
1333,2022-11-30T17:55:47Z,8,[11.0],[-1.0],
108468,2022-11-30T04:41:05Z,1,[7.0],[7.0],
89038,2022-11-28T22:30:35Z,5,[30.0],[-5.0],
81431,2022-11-28T15:45:30Z,2,[8.0],[0.0],
14208,2022-11-28T15:23:01Z,1,[35.0],[35.0],I wonder if it will be the same person is Griner in a prison and a Griner lookalike released from Russia
102121,2022-11-28T09:40:02Z,2,[13.0],[3.0],
105209,2022-11-27T15:01:28Z,3,[6.0],[-6.0],
105622,2022-11-26T19:56:58Z,4,[5.0],[-5.0],
961,2022-11-26T13:58:01Z,5,[14.0],[0.0],
105622,2022-11-26T07:21:26Z,3,[10.0],[-2.0],
107093,2022-11-25T22:19:03Z,3,[13.0],[-2.0],
1333,2022-11-25T14:43:57Z,7,[12.0],[-1.0],
86607,2022-11-24T15:51:59Z,3,[19.0],[-1.0],
32969,2022-11-24T03:26:01Z,1,[50.0],[50.0],This will only occur if there are specific prisoner(s) Putin wants returned OR if he could frame up the swap to embarrass the US/make himself look good at home. He would have already worked out a swap if there was a prisner(s) he wanted back. Releasing Griner could backfire (at least for now) since she did actually break Russian law.
89038,2022-11-23T20:52:37Z,4,[35.0],[-3.0],
86554,2022-11-22T19:59:21Z,3,[12.0],[-6.0],
107329,2022-11-22T00:33:41Z,1,[7.0],[7.0],
89038,2022-11-21T20:03:02Z,3,[38.0],[-4.0],
108341,2022-11-21T16:19:28Z,1,[0.0],[0.0],
1333,2022-11-21T15:02:59Z,6,[13.0],[-1.0],
8826,2022-11-21T15:02:09Z,1,[40.0],[40.0],the two governments are now talking
103258,2022-11-20T21:49:07Z,2,[25.0],[-8.0],
961,2022-11-20T18:17:19Z,4,[14.0],[-11.0],
108311,2022-11-20T12:17:22Z,1,[90.0],[90.0],"The Russians are looking to swap prisoners. There are very few US prisoners , whereas there are many Russian ones. And she is of little military/geo political significance. It’s a low hanging fruit, diplomatically."
108091,2022-11-20T10:32:46Z,1,[10.0],[10.0],
108260,2022-11-19T15:34:42Z,1,[100.0],[100.0],
107220,2022-11-18T16:00:55Z,1,[100.0],[100.0],"The US seems keen to do some kind of prisoner swap, the precise terms of which are to be determined."
89038,2022-11-18T15:50:58Z,2,[42.0],[-10.0],Steadying abit on reflection. The ultimate unknown is will the US swap a sophisticated and valuable arms dealer with a popular vape smoker.
63605,2022-11-18T14:17:09Z,1,[3.0],[3.0],
1333,2022-11-18T13:11:53Z,5,[14.0],[1.0],
1646,2022-11-18T12:43:20Z,1,[44.0],[44.0],
89038,2022-11-18T11:54:20Z,1,[52.0],[52.0]
84880,2022-11-17T17:42:10Z,1,[7.0],[7.0],
1333,2022-11-17T16:09:31Z,4,[13.0],[1.0],
107093,2022-11-17T14:24:51Z,2,[15.0],[-1.0],
20156,2022-11-17T10:47:02Z,1,[15.0],[15.0],
87571,2022-11-17T09:18:23Z,1,[4.0],[4.0],Ms Griner is not important enough for a prisoner exchange.
86607,2022-11-17T05:58:51Z,2,[20.0],[-1.0],
101399,2022-11-17T03:32:46Z,1,[0.0],[0.0]
103055,2022-11-17T03:29:18Z,1,[5.0],[5.0],
34815,2022-11-17T00:45:14Z,1,[0.0],[0.0],
77412,2022-11-16T22:53:29Z,1,[50.0],[50.0],"Outside view: base rate negotiation period for prisoner exchange for length of time for high profile prisoner swaps with a hostile state appears to be ~2.5yrs with a fairly even distribution based on data within this NYT article (https://www.nytimes.com/2022/07/28/world/europe/prisoner-swaps-exchanges-us.html). Griner was arrested in Feb 2022, so March 2023 would represent roughly 1 year since she was detained. Assuming even probability distribution on using historical base rate would suggest the probability is roughly 40% (1 yr / 2.5yr) she is released before 11 March 2023."
107361,2022-11-16T21:48:12Z,1,[10.0],[10.0],
104410,2022-11-16T19:23:19Z,2,[3.0],[-7.0],
37236,2022-11-16T14:09:25Z,1,[0.0],[0.0],
961,2022-11-16T04:07:02Z,3,[25.0],[0.0],
108220,2022-11-15T18:24:23Z,1,[5.0],[5.0],
530,2022-11-15T18:23:59Z,1,[3.0],[3.0],
86554,2022-11-15T13:53:31Z,2,[18.0],[-2.0],
108093,2022-11-15T11:13:25Z,1,[10.0],[10.0],
106866,2022-11-15T06:05:59Z,1,[3.0],[3.0],"A drug possession charge in Russia is 10 years. Griner has been sentenced to 9 years. With the actual tension between Russia and the US, there are little chances. Those kinds of exchanges normally take over a year to be hashed out."
105209,2022-11-15T02:05:14Z,2,[12.0],[-13.0],
107228,2022-11-14T20:23:48Z,1,[15.0],[15.0]
104410,2022-11-14T20:06:53Z,1,[10.0],[10.0],"The optics on Griner aren't good for Biden but she isn't going to go on to commit crimes against humanity on release. Anyone Russia is looking to trade for her probably will, and optics don't supersede that. Biden most certainly wants her back in the US for moral and approval reasons but I don't think he's going to lose sight of the big picture, and Russia isn't going to give her back for nothing unless something massive changes internally."
108092,2022-11-14T19:09:19Z,1,[12.0],[12.0],Short time span and so many external issues that Russia can use Griner as leverage. So many diplomatic discussions need to happen but war in Ukraine is making it difficult. I think it is a low chance in this time span but increased some due to possible deals that Russia might like.
14133,2022-11-14T18:21:02Z,1,[60.0],[60.0],"I think something will happen to make Russia realize this is a bad idea. Maybe a change in leadership in Russia, maybe something else."
1019,2022-11-14T18:09:39Z,1,[2.0],[2.0],
1333,2022-11-14T17:41:42Z,3,[12.0],[1.0],
86607,2022-11-14T15:54:16Z,1,[21.0],[21.0],"Detained for 9 months so far, and this is 4 months out, so the upper limit should be about 30%. The fact that she constantly comes up in media reports still makes me think that it is a high administration priority to get her out, but four months is not a long time in the world of prisoner exchanges.https://www.reuters.com/world/russian-us-officials-holding-talks-turkey-kommersant-2022-11-14/"
961,2022-11-14T14:19:18Z,2,[25.0],[0.0],
108211,2022-11-14T12:37:24Z,1,[10.0],[10.0],"Only chance is a prisoner exchange with US. Not impossible, but I feel like the US would struggle to publicise such a deal while avoiding a 'negotiating with terrorists' vibe"
4531,2022-11-13T23:10:35Z,1,[10.0],[10.0],
691,2022-11-13T18:56:48Z,1,[4.0],[4.0],"Presumably this means (a) alive, although not necessarily healthy, and (b) to stay, so that sightseeing trips to Belarus and back won't count--right?"
27573,2022-11-13T15:35:14Z,1,[30.0],[30.0],
81431,2022-11-13T14:00:11Z,1,[8.0],[8.0],
106642,2022-11-13T10:07:36Z,1,[10.0],[10.0],
45594,2022-11-13T08:52:00Z,1,[5.0],[5.0],
105622,2022-11-13T07:45:08Z,2,[12.0],[-3.0],
107848,2022-11-13T06:57:10Z,1,[0.0],[0.0],
107394,2022-11-13T01:23:37Z,1,[0.0],[0.0],
106757,2022-11-12T22:03:56Z,1,[0.0],[0.0],
107093,2022-11-12T21:51:02Z,1,[16.0],[16.0],"I will use my previous method of calculation. Previous releases of ""hostages"" such as Trevor Reed took years to happen. Paul Whelan is already in Russian custody since 2018. Griner is such a public figure and a civilian, making this a high value detainee. Also considering the previous behavior of Russia around her release then I would make a pretty low forecast."
100664,2022-11-12T21:41:56Z,1,[50.0],[50.0],
22689,2022-11-12T20:17:20Z,1,[0.0],[0.0],
94737,2022-11-12T17:36:33Z,1,[0.0],[0.0],
961,2022-11-12T13:43:12Z,1,[25.0],[25.0],Only causality would be a quid pro quo event to occur. Both would need PR justification.
88452,2022-11-12T12:24:52Z,1,[52.0],[52.0],
1333,2022-11-12T08:55:41Z,2,[11.0],[1.0],
105622,2022-11-12T08:44:10Z,1,[15.0],[15.0],
60695,2022-11-12T05:40:42Z,1,[70.0],[70.0],
939,2022-11-12T02:41:05Z,1,[7.0],[7.0],Seems very remote given the current state of affairs
86554,2022-11-12T00:28:26Z,1,[20.0],[20.0],
92079,2022-11-12T00:25:42Z,1,[21.0],[21.0],
107718,2022-11-11T23:16:12Z,1,[33.0],[33.0],
96828,2022-11-11T22:58:35Z,2,[16.0],[-3.0],
96828,2022-11-11T22:58:18Z,1,[19.0],[19.0],
108193,2022-11-11T21:01:37Z,1,[15.0],[15.0],
102121,2022-11-11T20:05:26Z,1,[10.0],[10.0],
105209,2022-11-11T19:56:35Z,1,[25.0],[25.0],
1333,2022-11-11T19:01:47Z,1,[10.0],[10.0],
103258,2022-11-11T18:30:42Z,1,[33.0],[33.0],
