Who will win the 2022 presidential election in Brazil?,2021-12-03T18:00:00Z,2022-10-30T07:01:00Z,Luiz Inácio Lula da Silva,"['Jair Bolsonaro', 'João Doria', 'Ciro Gomes', 'Sérgio Moro', 'Luiz Inácio Lula da Silva', 'Another candidate']","['Leader Entry/Exit', 'Elections and Referenda', 'Non-US Politics']",668,654,187,237,,https://www.gjopen.com/questions/2207-who-will-win-the-2022-presidential-election-in-brazil
86367,2022-10-30T05:45:55Z,9,"[27.0, 0.0, 0.0, 0.0, 73.0, 0.0]","[10.0, 0.0, 0.0, 0.0, -10.0, 0.0]"
107358,2022-10-30T04:01:12Z,1,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","Many polls, including the Economist and El Pais, has Lula over 10 points higher than Bolsonaro."
107332,2022-10-30T03:40:26Z,1,"[19.0, 0.0, 0.0, 0.0, 81.0, 0.0]","[19.0, 0.0, 0.0, 0.0, 81.0, 0.0]",
99780,2022-10-29T23:49:05Z,15,"[32.0, 0.0, 0.0, 0.0, 68.0, 0.0]","[4.0, 0.0, 0.0, 0.0, -4.0, 0.0]",
107303,2022-10-29T21:35:33Z,5,"[18.0, 0.0, 0.0, 0.0, 82.0, 0.0]","[-5.0, 0.0, 0.0, 0.0, 5.0, 0.0]",
86607,2022-10-29T20:48:46Z,18,"[40.0, 0.0, 0.0, 0.0, 60.0, 0.0]","[7.0, 0.0, 0.0, 0.0, -7.0, 0.0]","This is weirdly close, some polls do show Bolsonaro winning, and any poll error is likely to favor him. Plus he is certain to cast doubt on the results if he loses."
691,2022-10-29T15:03:54Z,20,"[21.0, 0.0, 0.0, 0.0, 79.0, 0.0]","[-1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",
1333,2022-10-29T14:36:07Z,80,"[67.0, 0.0, 0.0, 0.0, 33.0, 0.0]","[9.0, 0.0, 0.0, 0.0, -9.0, 0.0]",
104218,2022-10-29T09:30:18Z,10,"[42.0, 0.0, 0.0, 0.0, 58.0, 0.0]","[-8.0, 0.0, 0.0, 0.0, 8.0, 0.0]",I’m not at all as certain on this as we head into the final vote. Poll margin of error and the number of potential voters to be taken after the first round makes me cautious.
37520,2022-10-29T05:58:24Z,1,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]",
81456,2022-10-29T01:01:34Z,24,"[28.0, 0.0, 0.0, 0.0, 72.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
107302,2022-10-28T21:14:40Z,1,"[15.0, 0.0, 0.0, 0.0, 85.0, 0.0]","[15.0, 0.0, 0.0, 0.0, 85.0, 0.0]"
107273,2022-10-28T19:30:44Z,2,"[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]","[5.0, 0.0, 0.0, 0.0, -5.0, 0.0]",
107303,2022-10-28T15:08:42Z,4,"[23.0, 0.0, 0.0, 0.0, 77.0, 0.0]","[-4.0, 0.0, 0.0, 0.0, 4.0, 0.0]",
107257,2022-10-28T14:19:12Z,2,"[22.0, 0.0, 0.0, 0.0, 78.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
107271,2022-10-28T14:16:22Z,5,"[28.0, 0.0, 0.0, 0.0, 72.0, 0.0]","[4.0, 0.0, 0.0, 0.0, -4.0, 0.0]",
107338,2022-10-28T14:16:04Z,2,"[60.0, 0.0, 0.0, 0.0, 40.0, 0.0]","[-10.0, 0.0, 0.0, 0.0, 10.0, 0.0]",
107355,2022-10-28T14:15:52Z,1,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]",
107271,2022-10-28T14:14:28Z,4,"[24.0, 0.0, 0.0, 0.0, 76.0, 0.0]","[-5.0, 0.0, 0.0, 0.0, 5.0, 0.0]",
107271,2022-10-28T14:06:31Z,3,"[29.0, 0.0, 0.0, 0.0, 71.0, 0.0]","[7.0, 0.0, 0.0, 0.0, -7.0, 0.0]",
107271,2022-10-28T14:05:49Z,2,"[22.0, 0.0, 0.0, 0.0, 78.0, 0.0]","[-18.0, 0.0, 0.0, 0.0, 18.0, 0.0]",
107253,2022-10-28T14:03:19Z,2,"[35.0, 0.0, 0.0, 0.0, 65.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 65.0, -65.0]",
98842,2022-10-28T13:18:31Z,4,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[-15.0, 0.0, 0.0, 0.0, 15.0, 0.0]",
81431,2022-10-28T12:26:55Z,8,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
87991,2022-10-28T11:59:40Z,4,"[26.0, 0.0, 0.0, 0.0, 74.0, 0.0]","[-3.0, 0.0, 0.0, 0.0, 3.0, 0.0]",
86607,2022-10-28T10:56:58Z,17,"[33.0, 0.0, 0.0, 0.0, 67.0, 0.0]","[-2.0, 0.0, 0.0, 0.0, 2.0, 0.0]","Lula is clearly favored by the polls but any systemic bias in the polls like we saw in the first round could make this very very close. I have little doubt that Bolsonaro will attempt a coup if he loses, but the electoral court is controlled by leftists who will likely certify the results anyway"
1333,2022-10-28T09:52:56Z,79,"[58.0, 0.0, 0.0, 0.0, 42.0, 0.0]","[31.0, 0.0, 0.0, 0.0, -31.0, 0.0]",
94837,2022-10-28T06:59:40Z,20,"[15.0, 0.0, 0.0, 0.0, 85.0, 0.0]","[-10.0, 0.0, 0.0, 0.0, 10.0, 0.0]","All polling aggregatorshttps://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election#Bolsonaro_vs._Lulasee Lula ahead, however this may be biased similar to Clinton-Trump 2016 in US; Bolsonaro also outperformed his polls in the first round. However, predicting a runoff with the first round as a recall question is easier for pollsters and should lead only to small margins. So I am going higher for Lula again.Remains the uncertainty if, after a close defeat, Bolsonaro is pulling a Trump and won’t accept it."
107346,2022-10-28T00:58:09Z,4,"[21.0, 0.0, 0.0, 0.0, 79.0, 0.0]","[-2.0, 0.0, 0.0, 0.0, 2.0, 0.0]",
81456,2022-10-27T22:39:35Z,23,"[27.0, 0.0, 0.0, 0.0, 73.0, 0.0]","[-3.0, 0.0, 0.0, 0.0, 3.0, 0.0]",
107303,2022-10-27T18:27:43Z,3,"[27.0, 0.0, 0.0, 0.0, 73.0, 0.0]","[-2.0, 0.0, 0.0, 0.0, 2.0, 0.0]",
691,2022-10-27T15:12:35Z,19,"[22.0, 0.0, 0.0, 0.0, 78.0, 0.0]","[2.0, 0.0, 0.0, 0.0, -2.0, 0.0]",
