"Will Greece or Turkey publicly accuse the other of using a weapon against its national military, militia, and/or law enforcement forces before 29 April 2023?",2022-10-28T17:00:00Z,2023-01-05T09:00:01Z,Yes,"['Yes', 'No']","['Foreign Policy', 'Security and Conflict', 'Non-US Politics']",195,514,56,204,,https://www.gjopen.com/questions/2604-will-greece-or-turkey-publicly-accuse-the-other-of-using-a-weapon-against-its-national-military-militia-and-or-law-enforcement-forces-before-29-april-2023
96828,2023-01-09T22:44:48Z,5,[82.0],[48.0],@ctsats
88452,2023-01-09T20:56:18Z,2,[50.0],[50.0],.
86607,2023-01-09T19:09:44Z,6,[80.0],[75.0],
105622,2023-01-09T16:09:20Z,18,[100.0],[91.0],"My understanding of the question is that it has resolved as ""Yes"" with the below-linked incident where Greek Coast Guard vessels fired warning shots at Turkish Coast Guard vessels whom Greece claims were trying to ram them (two links provided for the incident):"
368,2023-01-09T15:43:11Z,66,[0.0],[0.0],
1333,2023-01-09T06:14:44Z,10,[5.0],[-1.0],
368,2023-01-08T14:21:06Z,65,[0.0],[0.0],
368,2023-01-07T23:27:01Z,64,[0.0],[0.0],
81431,2023-01-05T17:36:40Z,3,[1.0],[0.0],
368,2023-01-05T15:12:13Z,63,[0.0],[0.0],
102121,2023-01-05T13:58:06Z,4,[2.0],[-3.0],
108887,2023-01-05T11:18:25Z,2,[14.0],[0.0],
108887,2023-01-04T19:17:42Z,1,[14.0],[14.0],"Yes: 1/ Tensions have been running higher between the two countries in the last 4 months. 2/ There have been precedents of warning shots (those count) and targeted shots at Turkish vessels in the same period. 3/ Erdogan has gone on public record saying they have missiles that could reach Athens. 4/ Turkey, under Erdogan, has a lower chance of joining the EU, lowering the bar to enter conflict with an EU member state, but they need an ally in such a scenario. 5/ Turkey is currently vetoing the NATO membership of Sweden and Finland, playing into the hands of Russia. If Turkey don't get what they want, they could purchase a fleet of Russian fighter planes instead a number of US-made F-16s - this deal is currently on the table. Turkey has mentioned this as an option. Ergo, Turkey has an uneasy relationship with Russia, but they will take them as an ally if needed. 6/ Russia would welcome a conflict with an EU member as a distraction from the war on Ukraine. 7/ There are regular close quarters encounters at sea, and any such event could lead to an alleged or real weapons use."
368,2023-01-04T16:06:57Z,62,[0.0],[0.0],
77412,2023-01-04T14:16:16Z,3,[5.0],[-1.0],Time decay
691,2023-01-03T15:12:19Z,3,[2.0],[-2.0],
368,2023-01-03T15:10:59Z,61,[0.0],[0.0],
88452,2023-01-03T11:46:57Z,1,[0.0],[0.0],.
368,2023-01-02T16:28:36Z,60,[0.0],[0.0],
4531,2023-01-02T15:23:15Z,2,[0.0],[-2.0],
368,2023-01-01T02:13:43Z,59,[0.0],[0.0],
105622,2022-12-31T22:24:26Z,17,[9.0],[-3.0],
368,2022-12-30T14:18:15Z,58,[0.0],[0.0],
691,2022-12-30T13:21:58Z,2,[4.0],[-6.0],
368,2022-12-28T17:42:20Z,57,[0.0],[0.0],
86607,2022-12-28T16:40:33Z,5,[5.0],[-1.0],
108797,2022-12-28T15:17:00Z,1,[15.0],[15.0],
1034,2022-12-28T03:44:22Z,5,[0.0],[0.0],
368,2022-12-27T17:12:04Z,56,[0.0],[0.0],
14208,2022-12-27T07:37:01Z,5,[0.0],[0.0],No
368,2022-12-26T15:04:09Z,55,[0.0],[0.0],
1333,2022-12-25T14:28:36Z,9,[6.0],[-1.0],
368,2022-12-24T21:42:12Z,54,[0.0],[0.0],
368,2022-12-23T20:17:37Z,53,[0.0],[0.0],
105622,2022-12-22T22:16:02Z,16,[12.0],[-2.0],
