"Before 1 January 2023, will a ride-hailing service open to the public which uses autonomous vehicles be launched and/or tested on public roads in Dubai?",2021-10-01T17:00:00Z,2023-01-01T08:01:00Z,No,"['Yes', 'No']","['Business', 'Technology']",255,654,81,237,,https://www.gjopen.com/questions/2146-before-1-january-2023-will-a-ride-hailing-service-open-to-the-public-which-uses-autonomous-vehicles-be-launched-and-or-tested-on-public-roads-in-dubai
105312,2022-12-31T21:11:25Z,2,[99.0],[23.0],passage of time
42234,2022-12-31T15:46:37Z,1,[0.0],[0.0],2023
19260,2022-12-30T11:42:10Z,1,[0.0],[0.0],
25141,2022-12-30T09:22:09Z,1,[0.0],[0.0],
84956,2022-12-28T15:22:16Z,3,[0.0],[0.0],
80475,2022-12-26T19:05:10Z,1,[0.0],[0.0],"Definitely seems to be coming soon, but there are no reports as yet."
108797,2022-12-26T15:37:40Z,1,[0.0],[0.0],
84956,2022-12-25T19:59:42Z,2,[0.0],[-81.0],
45594,2022-12-25T09:06:03Z,2,[5.0],[-65.0],
83,2022-12-22T02:52:56Z,1,[0.0],[0.0],Dubai and Cruise still in negotiations / evaluations:
36132,2022-12-19T16:36:54Z,1,[0.0],[0.0],
1333,2022-12-19T09:05:15Z,93,[0.0],[-1.0],
691,2022-12-16T15:42:46Z,23,[0.0],[-1.0],
422,2022-12-13T15:02:54Z,7,[0.0],[-6.0],
79508,2022-12-12T12:54:29Z,10,[0.0],[-1.0],
691,2022-12-11T18:02:17Z,22,[1.0],[-1.0],
102121,2022-12-09T02:23:14Z,1,[0.0],[0.0],
52131,2022-12-08T21:52:53Z,1,[24.0],[24.0],
1333,2022-12-07T14:07:01Z,92,[1.0],[1.0],
107718,2022-12-06T16:14:29Z,4,[0.0],[-20.0],
50568,2022-12-03T11:37:53Z,1,[50.0],[50.0],
14208,2022-11-30T15:56:34Z,3,[0.0],[0.0],not in a million years
691,2022-11-30T14:44:06Z,21,[2.0],[-26.0],
34815,2022-11-29T03:26:27Z,2,[0.0],[-100.0],
88452,2022-11-29T01:58:02Z,4,[0.0],[-50.0],.
