"Before 1 September 2022, will the government of the United Arab Emirates (UAE) officially announce a change to its weekend?",2021-10-01T17:00:00Z,2021-12-07T08:07:47Z,Yes,"['Yes', 'No']","['Business', 'Non-US Politics']",54,654,34,237,,https://www.gjopen.com/questions/2145-before-1-september-2022-will-the-government-of-the-united-arab-emirates-uae-officially-announce-a-change-to-its-weekend
101187,2021-12-07T11:57:23Z,2,[100.0],[100.0],Looks like this is over? https://twitter.com/UAEmediaoffice/status/1468129958019182592?s=20
103410,2021-12-07T08:05:31Z,3,[100.0],[10.0],
103410,2021-12-07T08:04:43Z,2,[90.0],[89.0],
103544,2021-12-06T16:17:37Z,1,[65.0],[65.0],
103436,2021-12-01T18:35:00Z,1,[0.0],[0.0],
103410,2021-11-30T06:12:51Z,1,[1.0],[1.0],
103384,2021-11-28T02:46:19Z,1,[8.0],[8.0],
48234,2021-11-24T14:13:08Z,2,[0.0],[0.0],
86367,2021-11-20T00:17:37Z,4,[5.0],[-2.0],
62808,2021-11-18T23:40:47Z,2,[0.0],[0.0],
27661,2021-11-15T13:02:23Z,6,[1.0],[0.0],
101187,2021-11-12T11:56:18Z,1,[0.0],[0.0],
72705,2021-10-29T15:20:36Z,1,[0.0],[0.0],
14585,2021-10-29T07:41:17Z,1,[0.0],[0.0],
78403,2021-10-28T21:07:27Z,1,[25.0],[25.0],
27661,2021-10-27T10:10:11Z,5,[1.0],[0.0],
1333,2021-10-24T18:31:44Z,2,[0.0],[-1.0],
102518,2021-10-24T13:09:02Z,1,[20.0],[20.0],
102598,2021-10-24T07:36:23Z,1,[30.0],[30.0],
103026,2021-10-21T17:14:19Z,1,[60.0],[60.0],
691,2021-10-18T16:19:26Z,3,[0.0],[-1.0],
20156,2021-10-15T05:42:35Z,1,[2.0],[2.0],
86367,2021-10-14T15:20:16Z,3,[7.0],[-5.0],
58028,2021-10-12T17:23:22Z,5,[1.0],[-2.0],
522,2021-10-12T14:53:41Z,1,[0.0],[0.0],
86367,2021-10-12T14:00:14Z,2,[12.0],[-13.0],Bringing my probability down after hearing this podcast with the owner of a recruitment agency in Dubai https://www.thenationalnews.com/business/money/2021/08/24/is-a-four-day-working-week-possible-in-the-uae-pocketful-of-dirhams/
58028,2021-10-11T14:16:18Z,4,[3.0],[-1.0],
27661,2021-10-11T10:07:28Z,4,[1.0],[-1.0],
27661,2021-10-11T10:06:59Z,3,[2.0],[-1.0],
58028,2021-10-09T19:45:30Z,3,[4.0],[-1.0],
88452,2021-10-09T18:08:33Z,1,[0.0],[0.0],
58028,2021-10-08T21:05:06Z,2,[5.0],[1.0],
58028,2021-10-08T19:41:30Z,1,[4.0],[4.0],
62808,2021-10-07T20:30:27Z,1,[0.0],[0.0],
26642,2021-10-07T11:46:07Z,1,[5.0],[5.0],
86367,2021-10-07T09:43:35Z,1,[25.0],[25.0],
59881,2021-10-07T09:10:50Z,1,[0.0],[0.0],
67635,2021-10-06T21:43:31Z,1,[40.0],[40.0],
48234,2021-10-06T20:42:21Z,1,[0.0],[0.0],
27661,2021-10-06T07:48:54Z,2,[3.0],[-2.0],
102820,2021-10-05T11:02:18Z,1,[7.0],[7.0],"The UAE is officially a Muslim country and Friday is the holy day of the week, like Sunday is for Christians. Therefore, it is highly unlikely (95-99%) that the government shifts the weekend to Saturday-Sunday by 2022. Doing such a move could backlash politically, also from other Muslim countries."
9295,2021-10-05T01:44:12Z,1,[10.0],[10.0],Too much resistance from religious conservatives within own and neighbouring countries
25265,2021-10-04T09:50:28Z,1,[0.0],[0.0],"I found this article dated to 2003, which discusses should the UAE opt for ""Friday-Saturday"" as the weekend or not? https://gulfnews.com/uae/two-day-weekend-which-day-to-club-with-friday-1.362545"
101422,2021-10-03T18:38:31Z,1,[4.0],[4.0],
691,2021-10-03T13:45:19Z,2,[1.0],[-1.0],
45594,2021-10-03T07:57:36Z,1,[10.0],[10.0],
34815,2021-10-03T03:21:50Z,1,[0.0],[0.0],
16740,2021-10-03T01:08:34Z,1,[85.0],[85.0],
691,2021-10-02T19:01:31Z,1,[2.0],[2.0],
27661,2021-10-02T07:02:07Z,1,[5.0],[5.0],Half-day on Friday seems feasible but it is still unlikely.
1333,2021-10-02T05:30:08Z,1,[1.0],[1.0],
92079,2021-10-02T04:05:22Z,1,[49.0],[49.0],
100664,2021-10-01T21:11:08Z,1,[0.0],[0.0],
60695,2021-10-01T18:09:54Z,1,[0.0],[0.0],
