Will the value of the FAO Cereals Price Index for October 2022 be higher than it was for September 2022?,2022-09-12T17:00:00Z,2022-11-01T07:01:00Z,Yes,"['Yes', 'No']","['Business', 'Society', 'Security and Conflict']",454,654,137,237,,https://www.gjopen.com/questions/2532-will-the-value-of-the-fao-cereals-price-index-for-october-2022-be-higher-than-it-was-for-september-2022
107260,2022-11-01T04:16:08Z,1,[96.0],[96.0],
107577,2022-11-01T03:06:49Z,5,[79.0],[4.0]
107508,2022-11-01T00:25:14Z,10,[100.0],[70.0],
107293,2022-10-31T23:56:07Z,1,[83.0],[83.0],
107516,2022-10-31T23:55:43Z,4,[70.0],[5.0],
107401,2022-10-31T23:45:52Z,11,[98.0],[3.0],
107336,2022-10-31T22:50:41Z,5,[95.0],[25.0],Russia news + closing tonight
52131,2022-10-31T21:34:48Z,1,[100.0],[100.0],
107578,2022-10-31T17:47:39Z,3,[80.0],[25.0],
46207,2022-10-31T16:54:05Z,1,[60.0],[60.0],
102121,2022-10-31T16:49:12Z,7,[89.0],[12.0],
34959,2022-10-31T16:05:34Z,4,[80.0],[3.0],
36132,2022-10-31T15:13:34Z,1,[100.0],[100.0],
107475,2022-10-31T14:44:18Z,7,[85.0],[5.0],Future contracts for grains are being revised after Russian suspension of their participation in the grains deal.
691,2022-10-31T12:00:45Z,10,[80.0],[3.0],
107472,2022-10-31T04:35:20Z,8,[91.0],[4.0],Adjusting per Russia pulling out of Black Sea Deal
86367,2022-10-31T03:43:12Z,6,[91.0],[3.0],
86367,2022-10-31T03:42:45Z,5,[88.0],[7.0],
107516,2022-10-31T01:08:25Z,3,[65.0],[5.0],
107401,2022-10-30T23:28:43Z,10,[95.0],[20.0],Markets are expecting a huge increase in cereals prices first thing tomorrow morning in response to Russia's withdrawal from the Black Sea grain deal. Also tracking this: https://www.ers.usda.gov/topics/crops/wheat/market-outlook/
107548,2022-10-30T23:26:54Z,3,[65.0],[8.0],Tying it more to crowd forecast with a little bit of conservatism
107544,2022-10-30T21:02:16Z,4,[78.0],[5.0],Russian exit of Black Sea grain deal likely to exacerbate short term movement of prices within FAO Cereal Price Index
81456,2022-10-30T19:54:08Z,12,[92.0],[1.0],
107464,2022-10-30T19:12:23Z,2,[100.0],[70.0],
691,2022-10-30T18:04:15Z,9,[77.0],[1.0],
107478,2022-10-30T17:40:01Z,3,[85.0],[5.0],
107465,2022-10-30T17:14:43Z,21,[87.0],[12.0],"I was wondering how fast the CPI could respond to the news of yesterday - Russia canceling its role in the Black Sea deal for getting Ukraine's grain exported. I found this: https://www.reuters.com/world/europe/russia-suspends-participation-deal-ukraine-grain-exports-tass-2022-10-29/ . It says grain prices are expected to ""leap"" on Monday 10/31. https://www.reuters.com/markets/commodities/grain-market-braces-price-leap-black-sea-corridor-halted-2022-10-30/ I am increasing my probability."
107583,2022-10-30T13:48:45Z,2,[30.0],[0.0],
107527,2022-10-30T13:41:18Z,3,[30.0],[-35.0],
107534,2022-10-30T12:37:50Z,7,[80.0],[1.0],
107534,2022-10-30T12:36:19Z,6,[79.0],[19.0],"Updating my forecast, to account for the news now that Russia will be ending a deal with Ukraine to ease out the food crisis. This might close the month with a higher value of cereals than anticipated."
107472,2022-10-30T05:48:10Z,7,[87.0],[6.0],
107358,2022-10-30T04:57:31Z,1,[80.0],[80.0],Russia has suspended grain deals with the UN.
107531,2022-10-30T03:36:38Z,6,[59.0],[7.0],With respect to the historical data available--and the gains seen over the past year--I have adjusted my forecast accordingly. Data: https://www.fao.org/worldfoodsituation/foodpricesindex/en/
105209,2022-10-30T02:49:33Z,12,[75.0],[15.0],
96828,2022-10-30T02:38:48Z,15,[70.0],[11.0],
107431,2022-10-30T02:00:08Z,5,[85.0],[12.0],"Since Russia suspended the grain deal for Ukrainian grain exports, prices are more likely to increase going forward."
961,2022-10-30T00:36:03Z,6,[84.0],[6.0],
105251,2022-10-29T22:18:23Z,4,[81.0],[5.0],
107544,2022-10-29T22:12:08Z,3,[73.0],[6.0],
81456,2022-10-29T21:52:29Z,11,[91.0],[2.0],
107510,2022-10-29T21:23:49Z,3,[80.0],[10.0],Russia’s announcement today that it will halt compliance with the UN brokered grain export deal will have immediate impacts. https://www.nytimes.com/live/2022/10/29/world/russia-ukraine-war-news?smid=nytcore-ios-share&referringSource=articleShare
107401,2022-10-29T20:30:45Z,9,[75.0],[10.0],https://www.reuters.com/world/europe/russia-suspends-participation-deal-ukraine-grain-exports-tass-2022-10-29/
1646,2022-10-29T19:37:21Z,4,[81.0],[7.0],suspended grain deal with russia +winter
107535,2022-10-29T18:48:05Z,6,[67.0],[2.0],
86607,2022-10-29T17:43:56Z,9,[85.0],[26.0],
107475,2022-10-29T16:50:07Z,6,[80.0],[10.0],Russia suspends its collaboration in the grains deals with Ukraine. This can push the prices upwards further than expected.
105338,2022-10-29T16:48:03Z,3,[85.0],[20.0],
107481,2022-10-29T16:12:23Z,3,[100.0],[0.0],Some burning news for all those considering this question and monitoring the ICG index. Russia suspends its participation in the grain export deal.
85144,2022-10-29T15:31:10Z,6,[81.0],[10.0],
691,2022-10-29T15:10:18Z,8,[76.0],[2.0],
107534,2022-10-29T14:29:05Z,5,[60.0],[2.0],
107534,2022-10-29T14:21:30Z,4,[58.0],[-1.0],"I've updated my forecast in the condition that it looks a little more possible that the CPI does fall. The prices have been falling over the last few months, but the global stocks are also reduced and other global conditions affecting the supply chain."
107534,2022-10-29T14:16:06Z,3,[59.0],[-14.0],
107481,2022-10-29T13:12:54Z,2,[100.0],[20.0],
99943,2022-10-29T01:20:56Z,3,[98.0],[38.0],Thanks to @slapthepancake for great analysis.
107536,2022-10-29T01:18:35Z,3,[67.0],[0.0],
107582,2022-10-28T22:04:19Z,2,[70.0],[30.0],
107564,2022-10-28T19:08:59Z,2,[65.0],[40.0],
81456,2022-10-28T18:45:20Z,10,[89.0],[32.0],Following @slapthepancake (hope that I will have some time to verify his calculations independently tomorrow).
107501,2022-10-28T18:01:31Z,3,[70.0],[5.0],Winter is coming!
81495,2022-10-28T14:40:32Z,11,[98.0],[6.0],"Been reluctant to post this in depth, but most of the information to answer this already exists. The FAO index is a weighted average of wheat (43%), maize (39%), rice (11%), barley (7%), and sorghum (small, I ignore) price quotations. As explained here (https://www.fao.org/3/ca9509en/ca9509en.pdf#page=79), wheat, maize, and barley are sourced from IGC quotations, with rice and sorghum sourced elsewhere."
86607,2022-10-28T13:40:26Z,8,[59.0],[-1.0],
107465,2022-10-28T12:04:45Z,20,[75.0],[-2.0],"moving in direction of team. https://www.twn.my/title2/unsd/2022/unsd221003.htm food prices still falling, but question is for cereal subindex, not food prices overall."
107338,2022-10-28T03:00:17Z,1,[80.0],[80.0],
107535,2022-10-27T23:11:25Z,5,[65.0],[-1.0],"I see wheat prices have gone down marginally in recent days, so I will marginally update my prediction downwardly, but not by much because I am still confident in the general trends that led to my original prediction"
107480,2022-10-27T18:20:47Z,4,[68.0],[28.0],
107437,2022-10-27T17:41:17Z,3,[65.0],[5.0],
1333,2022-10-27T15:59:31Z,18,[100.0],[0.0],
691,2022-10-27T15:19:46Z,7,[74.0],[4.0],
107536,2022-10-27T13:19:50Z,2,[67.0],[57.0],
107553,2022-10-26T02:49:58Z,6,[60.0],[10.0],
107563,2022-10-25T22:33:20Z,3,[45.0],[15.0],"Still a not, but more cautious."
107475,2022-10-25T19:51:09Z,5,[70.0],[10.0],
107500,2022-10-25T14:25:04Z,4,[80.0],[5.0],
105209,2022-10-25T14:01:30Z,11,[60.0],[-10.0],
81495,2022-10-25T13:25:20Z,10,[92.0],[1.0],
107431,2022-10-25T11:53:21Z,4,[73.0],[6.0],"A stronger dollar will continue to raise prices. There is also lots of discussion about food insecurity in many parts of the globe. Although the actual conditions and locations are probably no more than they were last month. The ""noise"" could raise fears and anxiety causing a higher demand and reducing supply even in places where there is enough food."
34959,2022-10-25T07:21:20Z,3,[77.0],[17.0],
107465,2022-10-25T05:22:53Z,19,[77.0],[0.0],no new data
86367,2022-10-25T01:36:12Z,4,[81.0],[22.0],
107508,2022-10-25T00:15:02Z,9,[30.0],[0.0],
107521,2022-10-24T21:42:09Z,4,[60.0],[5.0],
107295,2022-10-24T14:26:20Z,1,[75.0],[75.0],"I think that there is still a reasonable chance the value goes down, but given the circumstances, it will likely go up. From August to September, there was a slight rise after a 5 month decline in prices. September to October has had a historically higher increase in the value, which I think will carry over. With lowering production and slightly increasing wheat prices, I believe the FAO Cereals price index will be higher for October 2022 than September 2022."
107537,2022-10-24T13:11:15Z,2,[63.0],[25.0],You are quoting a Reuters article from Nov 2021: https://www.reuters.com/business/world-food-prices-hit-new-10-year-high-october-fao-2021-11-04/
107345,2022-10-24T04:27:58Z,3,[44.0],[-21.0],
107465,2022-10-24T02:21:28Z,18,[77.0],[0.0],
86554,2022-10-23T14:38:52Z,5,[85.0],[5.0],
86554,2022-10-23T14:38:45Z,4,[80.0],[0.0],
105209,2022-10-23T13:34:06Z,10,[70.0],[10.0],
102121,2022-10-23T12:19:53Z,6,[77.0],[6.0],
107472,2022-10-23T04:37:46Z,6,[81.0],[10.0],
81495,2022-10-22T22:59:55Z,9,[91.0],[1.0],
105369,2022-10-22T04:37:55Z,6,[50.0],[25.0],Australia accounts for 11% of global wheat exports: https://www.internationalaffairs.org.au/australianoutlook/prospects-australian-wheat-exports-amid-ukraine-russia-conflict/
