Will France grant the China Global Television Network (CGTN) a license to broadcast in France before 1 January 2022?,2021-02-26T18:00:54Z,2021-03-03T17:00:31Z,Yes,"['Yes', 'No']","['Business', 'Foreign Policy', 'Non-US Politics']",59,654,35,237,,https://www.gjopen.com/questions/1950-will-france-grant-the-china-global-television-network-cgtn-a-license-to-broadcast-in-france-before-1-january-2022
88452,2021-03-08T13:54:59Z,4,[80.0],[-20.0],"Interesting, how words complicate this matter: DW reported on 06 March 2021, that CGTN received ""permission"" by the French CSA (with the consequence of being received e.g. in the German Vodafone network), in line with the ""1989 transfrontier television agreement"". However, DW delivers the same interpretation that ""CGTN's managers approached the Conseil Supérieur de l'Audiovisuel (CSA) for confirmation that this service was now under French jurisdiction under European law,"" the CSA said in a statement published on its website."" and further: ""a distribution license in one European country is valid across the continent, German media authorities had to notify television networks, such as Vodafone, that the CGTN channel no longer had permission to broadcast."""
99389,2021-03-07T23:19:43Z,1,[100.0],[100.0],
74903,2021-03-07T18:12:08Z,3,[100.0],[0.0],"In my perspective CGTN was already in France. And i think, the CSA confirm this perspective. I am perplex. If CGTN did not have to seek a license to France, France will never grant a license. So from 100% of CGTN can be broadcast in France, i should answer 0% from getting a formal approval from France. https://fr.wikipedia.org/wiki/Liste_des_cha%C3%AEnes_de_t%C3%A9l%C3%A9vision_en_France https://www.csa.fr/Informer/Espace-presse/Communiques-de-presse/La-chaine-CGTN-releve-pour-sa-diffusion-en-Europe-de-la-competence-de-la-France https://francais.cgtn.com/channel"
691,2021-03-07T16:28:46Z,5,[100.0],[45.0],
27661,2021-03-07T10:12:57Z,3,[100.0],[5.0],
94872,2021-03-07T06:21:58Z,4,[100.0],[0.0],
34815,2021-03-07T04:57:07Z,1,[100.0],[100.0],
97979,2021-03-06T16:41:13Z,1,[85.0],[85.0],
34959,2021-03-06T15:38:52Z,2,[100.0],[75.0],
94872,2021-03-06T04:36:37Z,3,[100.0],[60.0],
27661,2021-03-05T19:02:58Z,2,[95.0],[45.0],
98842,2021-03-05T14:53:36Z,1,[55.0],[55.0],
96318,2021-03-05T14:36:58Z,1,[83.0],[83.0],
19349,2021-03-05T10:38:58Z,1,[75.0],[75.0],"As the EU increasingly looks towards China for investment, member states will have to be more open to certain requests from China."
