"Before 8 November 2022, will American basketball player Brittney Griner leave Russia?",2022-08-12T17:00:00Z,2022-11-08T08:01:00Z,No,"['Yes', 'No']","['Foreign Policy', 'US Politics', 'Non-US Politics']",451,654,123,237,,https://www.gjopen.com/questions/2512-before-8-november-2022-will-american-basketball-player-brittney-griner-leave-russia
14208,2022-11-08T04:34:26Z,2,[0.0],[-50.0],he’s a real Russian spy he plays ball with Vladimir Putins daughter
13824,2022-11-07T22:34:23Z,2,[0.0],[-1.0],
107696,2022-11-07T18:44:02Z,5,[0.0],[0.0],
107267,2022-11-07T16:20:05Z,4,[0.0],[0.0],
107248,2022-11-07T16:18:19Z,1,[0.0],[0.0],
4531,2022-11-07T16:16:41Z,3,[3.0],[-10.0],
80475,2022-11-07T16:00:42Z,4,[0.0],[-5.0],Probably not in the next day.
89038,2022-11-07T10:03:45Z,14,[0.0],[-1.0],
107732,2022-11-07T08:08:37Z,3,[0.0],[-1.0],
14208,2022-11-07T01:44:12Z,1,[50.0],[50.0],only if the Russians stop giving him heroine
96828,2022-11-07T01:08:00Z,45,[1.0],[-3.0]
105622,2022-11-06T22:48:24Z,43,[0.0],[-1.0],
107321,2022-11-06T20:49:55Z,1,[0.0],[0.0],
45594,2022-11-06T09:57:07Z,2,[0.0],[-5.0],
108102,2022-11-05T23:00:41Z,1,[0.0],[0.0],
54125,2022-11-05T21:36:23Z,1,[0.0],[0.0],
107392,2022-11-05T19:51:57Z,5,[0.0],[-1.0],
95992,2022-11-05T16:11:51Z,20,[0.0],[-1.0],"If the US wanted this as a pre election victory, I think it would have happened by now. Not impossible, but I think <1/100 odds"
105251,2022-11-05T13:27:39Z,12,[0.0],[0.0],
105154,2022-11-05T08:02:55Z,1,[0.0],[0.0],
96828,2022-11-05T01:43:27Z,44,[4.0],[3.0],US officials met with her in person recently.
102080,2022-11-04T20:49:03Z,2,[1.0],[-4.0],
102080,2022-11-04T20:47:47Z,1,[5.0],[5.0],Russia will probably try to get sanctions relief in addition to the prisoner swap. It is unlikely that sanctions will be lifted and Griner will remain in prison.
103258,2022-11-04T19:26:52Z,10,[1.0],[-1.0],
107093,2022-11-04T14:24:02Z,9,[1.0],[-1.0],
96828,2022-11-04T11:21:13Z,43,[1.0],[-4.0],
86607,2022-11-04T04:51:52Z,25,[0.0],[-1.0],
107696,2022-11-03T22:09:53Z,4,[0.0],[-1.0],
105622,2022-11-03T20:15:46Z,42,[1.0],[-4.0],"Ms. Jean-Pierre said, in comments livestreamed by the White House, that embassy officials in Moscow were able to visit Brittney Griner on Thursday."
107259,2022-11-03T19:54:09Z,1,[0.0],[0.0],
107355,2022-11-03T14:38:22Z,1,[0.0],[0.0],
107346,2022-11-03T13:14:15Z,2,[0.0],[-2.0],
28166,2022-11-02T22:14:20Z,2,[0.0],[-4.0],
55688,2022-11-02T16:11:55Z,2,[1.0],[-24.0],
105622,2022-11-02T13:45:01Z,41,[5.0],[-1.0],
107283,2022-11-02T13:09:28Z,1,[0.0],[0.0],
20156,2022-11-02T10:31:10Z,6,[0.0],[-4.0],
89038,2022-11-02T00:12:02Z,13,[1.0],[-1.0],
107138,2022-11-01T15:58:51Z,3,[1.0],[-19.0],
105570,2022-11-01T15:32:37Z,2,[0.0],[-17.0],
105622,2022-11-01T14:27:45Z,40,[6.0],[-1.0],
95992,2022-11-01T14:15:54Z,19,[1.0],[-1.0],
37236,2022-11-01T13:42:52Z,3,[0.0],[0.0],
37236,2022-11-01T13:39:46Z,2,[0.0],[0.0],
107732,2022-11-01T12:58:01Z,2,[1.0],[-2.0],
52131,2022-10-31T21:38:53Z,1,[0.0],[0.0],
46207,2022-10-31T17:02:12Z,1,[5.0],[5.0],
86607,2022-10-31T16:22:05Z,24,[1.0],[0.0],
37566,2022-10-30T17:41:50Z,1,[0.0],[0.0],
107330,2022-10-30T15:47:07Z,2,[0.0],[0.0],
105622,2022-10-30T15:15:23Z,39,[7.0],[-2.0],
96546,2022-10-30T05:03:45Z,1,[0.0],[0.0],
691,2022-10-29T15:14:20Z,10,[0.0],[-1.0],
107297,2022-10-29T13:55:22Z,7,[0.0],[-1.0],
107332,2022-10-28T15:09:34Z,1,[0.0],[0.0],
