Will the FA Cup be decided with a penalty shootout?,2020-07-24T21:00:39Z,2020-08-01T06:59:39Z,No,"['Yes', 'No']",['Sports'],92,654,73,237,,https://www.gjopen.com/questions/1713-will-the-fa-cup-be-decided-with-a-penalty-shootout
88452,2020-07-31T17:13:57Z,2,[51.0],[21.0],"EDIT: Too bad, but pretty close again..."
87064,2020-07-31T15:39:20Z,2,[0.0],[-2.0],
94695,2020-07-31T15:36:27Z,1,[20.0],[20.0],"Base rate from Fifa world cup, where 20% of knock-out matches are decided by penalty shoot-out https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_penalty_shoot-outs."
94698,2020-07-31T15:09:20Z,1,[2.0],[2.0],
88284,2020-07-31T14:46:52Z,2,[13.0],[-2.0],
94676,2020-07-31T14:40:12Z,1,[7.0],[7.0],
94499,2020-07-31T13:56:03Z,3,[6.0],[-4.0],
64078,2020-07-31T12:50:46Z,1,[60.0],[60.0],
94723,2020-07-31T11:53:44Z,1,[0.0],[0.0],
84880,2020-07-31T03:12:42Z,3,[5.0],[-2.0],
86554,2020-07-30T23:48:47Z,3,[12.0],[-2.0],
57628,2020-07-30T22:14:22Z,1,[1.0],[1.0],
94632,2020-07-30T21:59:03Z,3,[7.0],[0.0],
52131,2020-07-30T16:05:49Z,1,[0.0],[0.0],
1333,2020-07-30T15:20:23Z,1,[0.0],[0.0],
79479,2020-07-30T15:18:10Z,1,[0.0],[0.0],Neither team have a good enough defense to stop the other from scoring.
90237,2020-07-30T14:30:25Z,1,[0.0],[0.0],
93543,2020-07-30T13:26:02Z,1,[5.0],[5.0],
94499,2020-07-30T11:11:17Z,2,[10.0],[-15.0],
94499,2020-07-30T11:11:04Z,1,[25.0],[25.0],
94563,2020-07-30T10:06:32Z,2,[8.0],[-4.0],Revaluating data from recent games and reducing forecast based.
88954,2020-07-30T09:40:20Z,2,[8.0],[-2.0],
93502,2020-07-30T08:04:58Z,2,[6.0],[-4.0],
94671,2020-07-29T21:05:39Z,1,[4.0],[4.0],Both teams have defensive problems so the game is more likely to be more open and reduce the chance of it ending in a draw after 90 minutes
74523,2020-07-29T17:10:09Z,1,[12.0],[12.0],
10794,2020-07-29T16:48:05Z,1,[10.0],[10.0],Has happened twice in the last 20 years.
89099,2020-07-29T15:55:56Z,1,[0.0],[0.0],
691,2020-07-29T14:35:05Z,3,[4.0],[-1.0],
