Will Iraq's parliament elect a new President of the Republic before 6 November 2022?,2022-08-05T17:00:00Z,2022-10-13T17:30:07Z,Yes,"['Yes', 'No']","['Leader Entry/Exit', 'Elections and Referenda', 'Non-US Politics']",83,654,28,237,,https://www.gjopen.com/questions/2505-will-iraq-s-parliament-elect-a-new-president-of-the-republic-before-6-november-2022
86607,2022-10-14T21:03:48Z,7,[100.0],[98.0],Woops. Maybe biggest forecasting miss I've yet made
96828,2022-10-14T19:05:11Z,7,[99.0],[65.0],
102121,2022-10-14T13:43:12Z,4,[100.0],[100.0],
102737,2022-10-14T04:39:36Z,5,[100.0],[100.0],https://www.aljazeera.com/news/2022/10/13/iraqi-parliament-elects-new-president-abdul-latif-rashid
106866,2022-10-11T21:02:08Z,2,[0.0],[-2.0],
88452,2022-10-10T07:55:43Z,6,[7.0],[-8.0],
1624,2022-10-09T00:58:26Z,7,[0.0],[-1.0],
691,2022-10-08T12:00:12Z,6,[1.0],[-1.0],
107330,2022-10-05T18:14:20Z,1,[0.0],[0.0],
691,2022-10-05T16:06:10Z,5,[2.0],[-1.0],
691,2022-10-04T16:39:27Z,4,[3.0],[-6.0],
106866,2022-10-04T03:55:42Z,1,[2.0],[2.0],
86607,2022-10-03T15:18:12Z,6,[2.0],[-3.0],
107718,2022-10-02T19:49:26Z,1,[0.0],[0.0],
107392,2022-10-02T05:15:05Z,1,[2.0],[2.0],
1624,2022-10-01T01:41:20Z,6,[1.0],[0.0],
1333,2022-09-30T13:16:36Z,15,[0.0],[-1.0],
107182,2022-09-29T18:06:21Z,4,[0.0],[0.0],
88452,2022-09-25T17:53:22Z,5,[15.0],[-17.0],
1624,2022-09-24T00:37:46Z,5,[1.0],[0.0],
25601,2022-09-23T14:07:58Z,1,[5.0],[5.0],
60695,2022-09-18T14:53:42Z,2,[10.0],[-90.0],
4531,2022-09-17T23:41:14Z,2,[39.0],[-57.0],
1333,2022-09-15T21:43:09Z,14,[1.0],[-1.0],
1333,2022-09-13T21:06:26Z,13,[2.0],[-1.0],
107182,2022-09-13T17:43:47Z,3,[0.0],[0.0],
88452,2022-09-12T19:20:11Z,4,[32.0],[-13.0],
1333,2022-09-12T10:55:36Z,12,[3.0],[1.0],
102737,2022-09-11T13:36:27Z,4,[0.0],[-2.0],"“Anything is possible in Iraq” is not a slogan, and for good reason. The people of Iraq deserve better. Even if a new (hypothetical) push were to begin today, I also don’t think there’s enough time left for the deliberations/process to play out in parliament."
4531,2022-09-09T22:43:22Z,1,[96.0],[96.0],
1333,2022-09-09T14:03:48Z,11,[2.0],[-1.0],
88452,2022-09-07T15:56:34Z,3,[45.0],[-30.0],
